Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Accelerator,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
436,IT Service Provider (B),Hewlett-Packard,"Cluster Platform 4000 BL465c G6, Xeon 2.4 GHz, GigE",United States,2011,7746,42495.2,80558.4,0,0,0,AMD x86_64,AMD x86_64 Opteron Six Core,2600,6,HP Cluster Platform 4000BL,Cluster Platform 4000 BL465c G6,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
437,Social NW Provider,Hewlett-Packard,"HP DL180 Cluster G6, Xeon E5620 2.4 GHz, GigE",United States,2011,8400,42432,80640,0,0,0,Intel EM64T,Intel EM64T Xeon E56xx (Westmere-EP),2400,4,HP Cluster Platform 3000,HP DL180 Cluster G6,Linux,None,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
438,IT Service Provider (D),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2009,6672,42406.4,80064,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,None,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
439,Maui High-Performance Computing Center (MHPCC),Dell,"PowerEdge 1955, 3.0 GHz, Infiniband",United States,2006,5200,42390,62400,0,0,0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,2,Dell PowerEdge Cluster,PowerEdge 1955,RedHat Enterprise 4,None,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas
440,CSIRO (Commonwealth Scientific),Hewlett-Packard,"Cluster Platform 3000 BL2x220, X56xx 2.8 Ghz, Infiniband QDR",Australia,2011,4800,42333.6,53760,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,None,Cluster,Research,Not Specified,Infiniband,Infiniband,Australia and New Zealand,Oceania
441,CSIRO (Commonwealth Scientific),Hewlett-Packard,"Cluster Platform 3000 BL2x220, X56xx 2.8 Ghz, Infiniband QDR",Australia,2011,4800,42333.6,53760,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,None,Cluster,Research,Not Specified,Infiniband,Infiniband,Australia and New Zealand,Oceania
442,Geoscience,IBM,"iDataPlex, Xeon QC 3.0 GHz, Infiniband",United States,2009,4704,42208,56448,0,0,206.39,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,IBM iDataPlex,xSeries iDataPlex,Linux,None,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas
443,Network Equipment Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon E5450 3.0 GHz, GigE",United States,2010,6632,42158.5,79584,0,0,0,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
444,Commissariat a l'Energie Atomique (CEA),Bull SA,"Novascale 3045, Itanium2 1.6 GHz, Infiniband",France,2007,7680,42130,49152,1430000,0,0,Intel IA-64,Intel IA-64 Itanium2 Montecito Dual Core,1600,2,Bull SMP Cluster,Novascale 3045,Linux,None,Constellations,Research,Not Specified,Infiniband,Infiniband DDR,Western Europe,Europe
445,Financial Institution (),IBM,"iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet",Belgium,2010,8352,41920,75735.9,0,0,240.12,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM iDataPlex,xSeries iDataPlex,Linux,None,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
446,Financial Institution (),IBM,"iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet",Belgium,2010,8352,41920,75735.9,0,0,240.12,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM iDataPlex,xSeries iDataPlex,Linux,None,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
447,Logistic Services (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE",United States,2010,7848,41879.4,79421.8,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
448,Logistic Services (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE",United States,2010,7848,41879.4,79421.8,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
449,Telecommunication Company,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE",China,2010,7848,41879.4,79421.8,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
450,Tomsk State University,T-Platforms,"T-Platforms T-Blade 1.1/2.0, Xeon X5670 2,93 GHz, Infiniband",Russia,2011,4296,41840,50349,680063,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,T-Platforms Cluster,T-Platforms Cluster,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,Eastern Europe,Europe
451,Amazon Web Services,Self-made,"Amazon EC2 Cluster, Xeon X5570 2.95 Ghz, 10G Ethernet",United States,2010,7040,41820,82508,1487304,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,NOW - Intel,Amazon EC2 Cluster,Linux,None,Cluster,Industry,Information Service,Gigabit Ethernet,10G Ethernet,North America,Americas
452,Saudi Aramco,ClusterVision/Dell,"Dell PowerEdge M610 Cluster, Nehalem-EP 2.93Ghz, Infiniband",Saudi Arabia,2009,4096,41770,48005,829248,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Dell PowerEdge Cluster,PowerEdge M610 Cluster,Linux,None,Cluster,Industry,Energy,Infiniband,Infiniband,Western Asia,Asia
453,Web Content Provider,Hewlett-Packard,"HP DL160 Cluster G6, Xeon E5620 2.4 GHz, GigE",United States,2011,8260,41747.8,79296,0,0,0,Intel EM64T,Intel EM64T Xeon E56xx (Westmere-EP),2400,4,HP Cluster Platform 3000,HP DL160 Cluster G6,Linux,None,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
454,IT Services Provider (C),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",United States,2011,7368,41680.7,74564.2,0,0,232.95,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
455,IT Services Provider (C),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",United States,2011,7368,41680.7,74564.2,0,0,232.95,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
456,IT Services Provider (C),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",United States,2011,7368,41680.7,74564.2,0,0,232.95,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
457,Lockheed Martin,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.66 GHz, Infiniband",United States,2011,4856,41586.7,51784.4,0,0,195.15,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,4,IBM BladeCenter,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,None,Cluster,Industry,Aerospace,Infiniband,Infiniband,North America,Americas
458,Lockheed Martin,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.66 GHz, Infiniband",United States,2011,4856,41586.7,51784.4,0,0,195.15,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,4,IBM BladeCenter,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,None,Cluster,Industry,Aerospace,Infiniband,Infiniband,North America,Americas
459,Max-Planck-Gesellschaft MPI/Eisenforschung,Megware,"Megware Saxonid 6100, Opteron 12C 2.3 GHz, Infiniband QDR",Germany,2011,5664,41460,52110,1108800,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2300,12,Megware Cluster,Saxonid 6100,Linux,None,Cluster,Research,Research,Infiniband,Infiniband QDR,Western Europe,Europe
460,A*STAR Computational Resource Centre,Fujitsu,"BX900 Xeon X5570/X5670 2.93GHz , Infiniband QDR",Singapore,2011,3888,41440,45567,1026432,0,175,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Fujitsu Cluster,Fujitsu Cluster,Linux,None,Cluster,Government,Not Specified,Infiniband,Infiniband QDR,South-eastern Asia,Asia
461,Government,Hewlett-Packard,"Cluster Platform 3000 BL2x220, E5530 2.4 GHz, GigE",United States,2011,8192,41414.8,78643.2,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2400,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,None,Cluster,Government,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
462,Netwok Equipment Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE",Finland,2011,7776,41347.9,78693.1,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Hardware,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
463,Financial Institute,Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5410 2.33 GHz, GigE",France,2010,8432,41347,78586.2,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2333,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
464,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM BladeCenter,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,None,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas
465,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM BladeCenter,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,None,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas
466,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM BladeCenter,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,None,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas
467,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM BladeCenter,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,None,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas
468,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM BladeCenter,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,None,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas
469,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM BladeCenter,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,None,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas
470,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM BladeCenter,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,None,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas
471,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM BladeCenter,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,None,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas
472,Classified,SGI,"Rackable(tm) C2005-TY2 Cluster, Xeon E5630 quad core 2.53 GHz, Gigabit Ethernet",United States,2010,9520,41290,96342.4,1601180,0,0,Intel EM64T,Intel EM64T Xeon E56xx (Westmere-EP),2530,4,Rackable Cluster,Rackable(tm) C2005-TY2 Cluster,Linux,None,Cluster,Classified,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
473,Engineering Company,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",China,2010,7296,41273.4,73835.5,0,0,320.11,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM xSeries,xSeries x3650M2 Cluster Xeon QC,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
474,Engineering Company,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",China,2010,7296,41273.4,73835.5,0,0,320.11,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM xSeries,xSeries x3650M2 Cluster Xeon QC,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
475,Engineering Company,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",China,2010,7296,41273.4,73835.5,0,0,320.11,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM xSeries,xSeries x3650M2 Cluster Xeon QC,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
476,Network Company,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",China,2009,7168,41272.7,72540.2,0,0,282.75,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
477,Network Company,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",China,2009,7168,41272.7,72540.2,0,0,282.75,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
478,Network Company,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",China,2009,7168,41272.7,72540.2,0,0,282.75,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
479,Logistic Services (E),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5550 2.66 GHz, GigE",United States,2011,7340,41260.5,78273.8,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
480,Financial Institution,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2011,6636,41199,77773.9,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
481,QXL Poland SP ZOO,Hewlett-Packard,"Cluster Platform 3000 BL2x220, L54xx 2.5 Ghz, GigE",Poland,2010,7384,40759.7,73840,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,None,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Eastern Europe,Europe
482,Financial Institution,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon L5520 2.26 GHz, GigE",United States,2011,9696,40730.6,87651.8,0,0,0,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
483,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon L5520 2.26 GHz, GigE",United Kingdom,2010,8568,40730.6,77454.7,0,0,0,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
484,US Army Research Laboratory (ARL),Linux Networx,Evolocity II (LS Supersystem) Xeon 51xx 3.0 GHz IB,United States,2007,4416,40610,52992,917104,0,0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,2,Linux Networx Evolocity,Evolocity II (LS Supersystem),SuSE Linux Enterprise Server 9,None,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas
485,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5670 2.93 GHz, 10G",United Kingdom,2011,4392,40597.3,51474.2,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,10G Ethernet,Northern Europe,Europe
486,Logistic Services (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE",United States,2010,7600,40594.2,76912,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
487,University of Bergen,Cray Inc.,Cray XT4 QuadCore 2.3 GHz,Norway,2008,5550,40590,51060,0,0,274.73,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT4 QuadCore,CNL,None,MPP,Academic,Not Specified,Proprietary,XT4 Internal Interconnect,Northern Europe,Europe
488,IT Services Provider (D),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5650 2.66 GHz, GigE",United States,2010,7206,40527.8,76671.8,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
489,Web Content Provider (L),Hewlett-Packard,"HP DL160 Cluster G6, Xeon X5650 2.66 GHz, GigE",Ireland,2011,7200,40495,76608,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000,HP DL160 Cluster G6,Linux,None,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
490,Service Provider,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",China,2010,7152,40458.8,72378.2,0,0,313.79,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM xSeries,xSeries x3650M2 Cluster Xeon QC,Linux,None,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
491,Service Provider,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",China,2010,7152,40458.8,72378.2,0,0,313.79,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM xSeries,xSeries x3650M2 Cluster Xeon QC,Linux,None,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
492,Service Provider,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",China,2010,7152,40458.8,72378.2,0,0,313.79,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM xSeries,xSeries x3650M2 Cluster Xeon QC,Linux,None,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
493,Government,IBM,"xSeries x3650 Cluster Xeon QC GT 2.66 GHz, Infiniband",Russia,2010,4384,40394.6,46751,0,0,192.35,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM xSeries,xSeries x3650 Cluster Xeon quad core,Linux,None,Cluster,Government,Not Specified,Infiniband,Infiniband,Eastern Europe,Europe
494,Service Provider,IBM,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE",France,2011,7140,40390.9,83680.8,0,0,200.35,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,None,Cluster,Industry,Database,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
495,Service Provider,IBM,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE",France,2011,7140,40390.9,83680.8,0,0,200.35,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,None,Cluster,Industry,Database,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
496,Service Provider,IBM,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE",France,2011,7140,40390.9,83680.8,0,0,200.35,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,None,Cluster,Industry,Database,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
497,Service Provider,IBM,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE",France,2011,7140,40390.9,83680.8,0,0,200.35,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,None,Cluster,Industry,Database,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
498,University of Kentucky,Dell,"PowerEdge C6100 Cluster, Xeon X5650 2.66 Ghz, Infiniband",United States,2010,4428,40310,47114,1100000,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,Dell PowerEdge Cluster,PowerEdge C6100 Cluster,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband QDR,North America,Americas
499,Audi AG,Hewlett-Packard,"Cluster Platform 3000 BL2x220, X56xx 2.66 Ghz, Infiniband",Germany,2010,4800,40217,51072,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,None,Cluster,Industry,Automotive,Infiniband,Infiniband,Western Europe,Europe
500,Engineering Company,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.66 GHz, GigEthernet",China,2010,7104,40187.3,75757.1,0,0,233.1,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
