Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Accelerator,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
330,Government,IBM,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE",United States,2011,8556,48401.2,100276,0,0,240.1,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,None,Cluster,Government,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
331,Government,IBM,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",United States,2011,8580,48348.5,100558,0,0,273.13,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,None,Cluster,Government,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
332,Government,IBM,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",United States,2011,8580,48348.5,100558,0,0,273.13,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,None,Cluster,Government,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
333,Web Company (F),Hewlett-Packard,"Cluster Platform SL170z, Xeon X5650 2.66 Ghz, GigE",United States,2011,8640,48329.2,91929.6,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000SL,Cluster Platform SL170z,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
334,Web Company (F),Hewlett-Packard,"Cluster Platform SL170z, Xeon X5650 2.66 Ghz, GigE",United States,2011,8640,48329.2,91929.6,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000SL,Cluster Platform SL170z,Linux,None,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
335,Semiconductor Company,IBM,"iDataPlex, Xeon X56xx 6C 2.66 GHz, GigE",United States,2011,8568,48281,91164,0,0,224.17,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,IBM iDataPlex,xSeries iDataPlex,Linux,None,Cluster,Industry,Semiconductor,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
336,Actebis Peacock GmbH,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon L5640 2.26 GHz, 10G",Germany,2010,6828,48226.5,61725.1,0,0,0,Intel EM64T,Intel EM64T Xeon L56xx (Westmere-EP),2260,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Service,Gigabit Ethernet,10G Ethernet,Western Europe,Europe
337,Los Alamos National Laboratory,SGI,"SGI Altix XE 1300 Cluster Solutions, 2.66GHZ, Infiniband",United States,2010,5120,48190,54476.8,1266612,0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2667,4,SGI Altix,SGI Altix XE 1300,SLES10 + SGI ProPack 5,None,MPP,Research,Not Specified,Infiniband,Infiniband DDR,North America,Americas
338,IT Service Provider (B),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2009,7600,48135.4,91200,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
339,MD Anderson,Hewlett-Packard,"Cluster Platform 4000 BL465c, Opteron 12 2.2GHz, Infiniband",United States,2010,8064,48132,61900.8,0,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2200,12,HP Cluster Platform 4000BL,Cluster Platform 4000 BL465c,Linux,None,Cluster,Industry,Not Specified,Infiniband,Infiniband QDR,North America,Americas
340,Computacenter (UK) LTD,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United Kingdom,2010,7560,47889.3,90720,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
