Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Measured Size,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
104,United Kingdom Meteorological Office,IBM,"Power 575, p6 4.7 GHz, Infiniband",United Kingdom,2009,3520,51863.3,66176,0,0,562.6,0,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Weather Forecasting,Infiniband,Infiniband,Northern Europe,Europe
105,United Kingdom Meteorological Office,IBM,"Power 575, p6 4.7 GHz, Infiniband",United Kingdom,2009,3520,51863.3,66176,0,0,562.6,0,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Weather Forecasting,Infiniband,Infiniband,Northern Europe,Europe
106,Wright-Patterson Air Force Base/DoD ASC,SGI,Altix 4700 1.6 GHz,United States,2007,9216,51441,58982,1260000,0,0,0,Intel IA-64,Intel IA-64 Itanium 2 Dual Core,1600,2,SGI Altix,SGI Altix 4700,SLES10 + SGI ProPack 5,MPP,Research,Not Specified,NUMAlink,NUMAlink,North America,Americas
107,Meteorological Research Institute (MRI),Hitachi,"Hitachi SR16000 Model L2/121, Power6 4.7Ghz, Infiniband",Japan,2009,3872,51210,72793.6,844800,0,0,0,Power,POWER6,4700,2,Hitachi SR16000,Hitachi SR16000 Model L2,AIX,MPP,Research,Weather and Climate Research,Infiniband,Infiniband,Eastern Asia,Asia
108,Engineering Company,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",China,2010,8960,51203.3,90675.2,0,0,393.12,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,xSeries x3650M2 Cluster Xeon QC,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
109,SARA (Stichting Academisch Rekencentrum),IBM,"Power 575, p6 4.7 GHz, Infiniband",Netherlands,2009,3456,50923.9,64972.8,0,0,552,32,Power,POWER6,4700,2,IBM pSeries,pSeries 575,Linux,MPP,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
110,HWW/Universitaet Stuttgart,NEC,"NEC HPC 140Rb-1 Cluster, Xeon X5560 2.8Ghz, Infiniband",Germany,2009,5376,50790,60211.2,958880,0,186,5376,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,NEC Cluster,HPC 140Rb-1 Cluster,Windows HPC 2008,Cluster,Industry,Research,Infiniband,Infiniband,Western Europe,Europe
111,Kyoto University,Fujitsu,"Fujitsu Cluster HX600, Opteron Quad Core, 2.3 GHz, Infiniband",Japan,2008,6656,50510,61235,1223040,215000,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Fujitsu Cluster,Fujitsu Cluster,Redhat Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband DDR,Eastern Asia,Asia
112,Intel,Intel,"Intel Cluster, Xeon X5560 2.8 GHz, Xeon X5670 2.93 Ghz, Infiniband",United States,2010,4824,50370,56225.3,1061600,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,Intel Cluster,Intel Cluster,Linux,Cluster,Industry,Not Specified,Infiniband,Infinband DDR 4x,North America,Americas
113,Bureau of Meteorology / CSIRO HPCCC,Sun Microsystems,"Sun Blade x6048, Xeon X5560 2.93 Ghz, Infiniband QDR",Australia,2010,4600,49590,53912,1127280,0,220,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Sun Blade System,Sun Blade 6048,CentOS,Cluster,Research,Not Specified,Infiniband,Infiniband,Australia and New Zealand,Oceania
114,University of Zuerich,Sun Microsystems,"Sun Blade x6275, Xeon X55xx 2.8 Ghz, Infiniband QDR",Switzerland,2009,4600,49590,51520,1127280,0,218,4608,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,Sun Blade System,Sun Blade x6275,SUSE Linux Enterprise Server 10,Cluster,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
115,SciNet/University of Toronto,IBM,"Power 575, p6 4.7 GHz, Infiniband",Canada,2008,3328,48932.7,62566.4,0,0,531.88,32,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Not Specified,Infiniband,Infiniband,North America,Americas
116,IT Service Provider (B),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2009,7600,48135.4,91200,0,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
117,Ecole Polytechnique Federale de Lausanne,IBM,Blue Gene/P Solution,Switzerland,2009,16384,47725,55706,933887,0,126,2048,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Academic,Research,Proprietary,Proprietary,Western Europe,Europe
118,IBM - Rochester,IBM,Blue Gene/P Solution,United States,2007,16384,47725,55706,933887,0,126,4096,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Vendor,Benchmarking,Proprietary,Proprietary,North America,Americas
119,IBM Thomas J. Watson Research Center,IBM,Blue Gene/P Solution,United States,2009,16384,47725,55706,933887,0,126,0,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Research,Not Specified,Proprietary,Proprietary,North America,Americas
120,Max-Planck-Gesellschaft MPI/IPP,IBM,Blue Gene/P Solution,Germany,2008,16384,47725,55706,933887,0,126,4096,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Research,Not Specified,Proprietary,Proprietary,Western Europe,Europe
121,Moscow State University - Research Computing Center,SKIF/T-Platforms,"T-Platforms T60, Intel Quadcore 3Ghz, Infiniband DDR",Russia,2008,5000,47170,60000,750000,0,265,5000,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,T-Platforms Cluster,T-Platforms T60 Cluster,CentOS,Cluster,Academic,Research,Infiniband,Infiniband DDR,Eastern Europe,Europe
122,National Supercomputer Centre (NSC),Hewlett-Packard,"Cluster Platform 3000 DL140 Cluster, Xeon 53xx 2.33GHz Infiniband",Sweden,2008,6440,47030,60020.8,1158000,200000,0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,4,HP Cluster Platform 3000,Cluster Platform 3000 DL140,Linux,Cluster,Academic,Research,Infiniband,Infiniband,Northern Europe,Europe
123,Texas Advanced Computing Center/Univ. of Texas,Dell,"PowerEdge 1955, 2.66 GHz, Infiniband",United States,2007,5848,46730,62220,1187200,0,0,0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,2,Dell PowerEdge Cluster,PowerEdge 1955,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
124,Financial Services (P),IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",United Kingdom,2010,8096,46415.3,81931.5,0,0,255.96,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,xSeries x3650M2 Cluster Xeon QC,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
125,HPC2N - Umea University,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.5 GHz, IB, Windows HPC 2008/CentOS",Sweden,2008,5376,46040,53760,1113600,150000,173.21,112,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Windows HPC 2008,Cluster,Academic,Not Specified,Infiniband,Infiniband,Northern Europe,Europe
126,Ohio Supercomputer Center,IBM,"xSeries x3455 Cluster Opteron, DC 2.6 GHz/QC 2.5 GHz, Infiniband",United States,2009,9304,45730,73072,1200000,0,637,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2500,4,IBM Cluster,xSeries x3455 Cluster Opteron,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
127,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, GigE",United States,2010,7384,45713.5,86540,0,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
128,Information Services,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, GigE",United States,2010,7384,45713.5,86540,0,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
129,Telecommunications,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",Italy,2010,8048,45527.5,81445.8,0,0,254.44,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Southern Europe,Europe
130,Hosting Services,Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5410 2.33 GHz, GigE",United States,2009,9216,45056.8,85893.1,0,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2333,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
131,Forschungszentrum Juelich (FZJ),IBM,"QPACE SFB TR Cluster, PowerXCell 8i, 3.2 GHz, 3D-Torus",Germany,2009,4608,44500,55705.6,487551,0,57.54,0,Power,PowerXCell 8i,3200,9,IBM Cluster,QPACE Cluster PowerXCell 8i,Linux,Cluster,Research,Not Specified,Custom,Custom,Western Europe,Europe
132,Universitaet Regensburg,IBM,"QPACE SFB TR Cluster, PowerXCell 8i, 3.2 GHz, 3D-Torus",Germany,2009,4608,44500,55705.6,487551,0,57.54,0,Power,PowerXCell 8i,3200,9,IBM Cluster,QPACE Cluster PowerXCell 8i,Linux,Cluster,Academic,Not Specified,Custom,Custom,Western Europe,Europe
133,Universitaet Wuppertal,IBM,"QPACE SFB TR Cluster, PowerXCell 8i, 3.2 GHz, 3D-Torus",Germany,2009,4608,44500,55705.6,487551,0,57.54,0,Power,PowerXCell 8i,3200,9,IBM Cluster,QPACE Cluster PowerXCell 8i,Linux,Cluster,Academic,Not Specified,Custom,Custom,Western Europe,Europe
134,Classified,IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, Infiniband",United States,2010,5376,44248.4,48599,0,0,149.6,0,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Classified,Not Specified,Infiniband,Infiniband,North America,Americas
135,Financial Services (H),Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5420 2.5 GHz, GigE",United States,2009,8312,43752.4,83120,0,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
136,Consulting (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon E5450 3.0 GHz, GigE",United States,2009,6768,43000.9,81216,0,0,0,0,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Consulting,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
137,Central Research Institute of Electric Power Industry/CRIEPI,SGI,"SGI Altix ICE 8200EX, Xeon X5560 quad core 2.8 GHz",Japan,2010,4096,42690,45875.2,1183560,0,183.7,4096,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Research,Not Specified,Infiniband,Infiniband,Eastern Asia,Asia
138,National Institute for Materials Science,SGI,"SGI Altix ICE 8200EX, Xeon X5560 quad core 2.8 GHz",Japan,2009,4096,42690,45875.2,1183560,0,183.7,4096,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Research,Not Specified,Infiniband,Infiniband,Eastern Asia,Asia
139,IT Service Provider (D),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2009,6672,42406.4,80064,0,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
140,Maui High-Performance Computing Center (MHPCC),Dell,"PowerEdge 1955, 3.0 GHz, Infiniband",United States,2006,5200,42390,62400,0,0,0,0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,2,Dell PowerEdge Cluster,PowerEdge 1955,RedHat Enterprise 4,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas
141,Geoscience,IBM,"iDataPlex, Xeon QC 3.0 GHz, Infiniband",United States,2009,4704,42208,56448,0,0,206.39,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas
142,Commissariat a l'Energie Atomique (CEA),Bull SA,"Novascale 3045, Itanium2 1.6 GHz, Infiniband",France,2007,7680,42130,49152,1430000,0,0,0,Intel IA-64,Intel IA-64 Itanium2 Montecito Dual Core,1600,2,Bull SMP Cluster,Novascale 3045,Linux,Constellations,Research,Not Specified,Infiniband,Infiniband DDR,Western Europe,Europe
143,Logistic Services (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE",United States,2010,7848,41879.4,79421.8,0,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
144,Logistic Services (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE",United States,2010,7848,41879.4,79421.8,0,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
145,Telecommunication Company,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE",China,2010,7848,41879.4,79421.8,0,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
146,Saudi Aramco,ClusterVision/Dell,"Dell PowerEdge M610 Cluster, Nehalem-EP 2.93Ghz, Infiniband",Saudi Arabia,2009,4096,41770,48005,829248,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Dell PowerEdge Cluster,PowerEdge M610 Cluster,Linux,Cluster,Industry,Energy,Infiniband,Infiniband,Western Asia,Asia
147,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,112,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas
148,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas
149,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,112,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas
150,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas
151,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas
152,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,4824,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas
153,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas
154,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,112.24,112,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas
155,Network Company,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",China,2009,7168,41272.7,72540.2,0,0,282.75,112,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
156,Network Company,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",China,2009,7168,41272.7,72540.2,0,0,282.75,112,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
157,Network Company,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",China,2009,7168,41272.7,72540.2,0,0,282.75,112,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
158,US Army Research Laboratory (ARL),Linux Networx,Evolocity II (LS Supersystem) Xeon 51xx 3.0 GHz IB,United States,2007,4416,40610,52992,917104,0,0,0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,2,Linux Networx Evolocity,Evolocity II (LS Supersystem),SuSE Linux Enterprise Server 9,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas
159,Logistic Services (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE",United States,2010,7600,40594.2,76912,0,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
160,University of Bergen,Cray Inc.,Cray XT4 QuadCore 2.3 GHz,Norway,2008,5550,40590,51060,0,0,274.73,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT4 QuadCore,CNL,MPP,Academic,Not Specified,Proprietary,XT4 Internal Interconnect,Northern Europe,Europe
161,Cyfronet,Hewlett-Packard,"Cluster Platform 3000 BL2x220, L56xx 2.26 Ghz, Infiniband",Poland,2010,6144,39934.5,55541.8,0,0,0,0,Intel EM64T,Intel EM64T Xeon L56xx (Westmere-EP),2260,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Eastern Europe,Europe
162,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, GigE",United States,2010,6400,39769.2,75008,0,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
163,Saudi Aramco,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3 GHz, Infiniband",Saudi Arabia,2009,4192,39704.9,50304,0,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Information Service,Infiniband,Infinband DDR 4x,Western Asia,Asia
164,R-Systems,Dell,"Dell DCS CS23-SH, QC HT 2.8 GHz, Infiniband",United States,2008,4608,39580,51609.6,654720,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2800,4,Dell Cloud Computing (DCS),Dell Cloud Computing (DCS),Linux,Cluster,Industry,Not Specified,Infiniband,Infiniband,North America,Americas
165,Service Provider,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",United States,2010,6824,39366.3,69058.9,0,0,215.7,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
166,Service Provider,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",United States,2010,6824,39366.3,69058.9,0,0,215.7,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
167,Classifified,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.13 GHz, Infiniband",United States,2010,6128,39226,52211,0,0,236.8,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2333,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Not Specified,Infiniband,Infiniband,North America,Americas
168,Energy Company (G),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2009,6144,39128.3,73728,0,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Energy,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
169,Energy Company (G),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2009,6144,39128.3,73728,0,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Energy,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
170,Food Industry,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United Kingdom,2010,6144,39128.3,73728,0,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Retail,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
171,NASA/Goddard Space Flight Center,IBM,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",United States,2009,4128,38990,46234,1190000,0,144.48,4128,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Research,Aerospace,Infiniband,Infiniband,North America,Americas
172,NASA/Goddard Space Flight Center,IBM,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",United States,2009,4128,38990,46234,1190000,0,144.48,4128,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Research,Aerospace,Infiniband,Infiniband,North America,Americas
173,Logistic Services (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE",United States,2010,7280,38932.1,73673.6,0,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
174,IT Service Provider (B),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 51xx 3.0GHz, Infiniband",United States,2009,4100,38847.2,49200,0,0,0,0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,2,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Information Service,Infiniband,Infiniband,North America,Americas
175,Government,IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",United States,2010,7952,38790,80474.2,0,0,251.41,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Government,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
176,E-Commerce,IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.66 GHz, GigEthernet",United States,2010,6696,38651.5,67763.5,0,0,219.7,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Retail,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
177,Logistic Services (E),Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon E5450 3.0 GHz, GigE",United States,2009,6048,38530.9,72576,0,0,0,0,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
