Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Power Effeciency [GFlops/Watts],Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent,Site ID,System ID
255,,51,255,MareNostrum P9 CTE,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Tesla V100",Barcelona Supercomputing Center,IBM,Spain,2018,Academic,19440,17280,1018,1485.527,1700352,,28.041,85.8,Submitted,11.865,Cluster,IBM POWER9 22C 3.1GHz,Power,3100,RHEL 7.4,Linux,NVIDIA Tesla V100,22,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,Southern Europe,Europe,49748,179442
256,170,46,78,Lonestar 5,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",Texas Advanced Computing Center/Univ. of Texas,Cray Inc.,United States,2015,Academic,30048,,1017.04,1249.997,3092352,,,586.88,Derived,1.733,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas,48958,178615
257,,51,257,IT-byte,"Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet",Internet Company,Sugon,China,2018,Industry,60000,,1015,2112,4483000,,,750,Submitted,1.353,Cluster,Xeon E5-2630v4 10C 2.2GHz,Intel Broadwell,2200,CentOS,Linux,None,10,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia,50743,179389
258,171,44,127,,"Cray XC40, Intel Xeon E5-2680v3 12C 2.5Ghz/Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",Deutscher Wetterdienst,Cray Inc.,Germany,2017,Research,34560,,1014,1227.571,3730368,,,448.2,Submitted,2.262,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Western Europe,Europe,47712,178454
259,172,46,79,EAGLE,"Huawei E9000 Blade Server, Xeon E5-2697v3 14C 2.6GHz, 56G Infiniband FDR",PCSS Poznan,Huawei,Poland,2015,Academic,32984,,1013.721,1372.134,2739840,,8.5,549.6,Submitted,1.844,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,14,Intel Xeon E5 (Haswell),Huawei E9000 Blade Server,Huawei Cluster,Infiniband,56G Infiniband FDR,Eastern Europe,Europe,50183,178748
260,173,46,80,,"Lenovo ThinkServer RD650, Xeon E5-2670v3 12C 2.3GHz, 10G Ethernet",Service Provider T,Lenovo,China,2015,Industry,108000,,1013.472,3974.4,5692000,,,3375,Derived,0.3,Cluster,Xeon E5-2670v3 12C 2.3GHz,Intel Haswell,2300,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Lenovo ThinkServer RD650,Lenovo ThinkServer,10G,10G Ethernet,Eastern Asia,Asia,50329,178625
261,174,48,112,,"Cluster Platform DL360, Xeon E5-2673v3 12C 2.4GHz, Infiniband FDR",Software Company (M),HPE,United States,2016,Industry,36720,,1012.046,1410.048,,,,,,,Cluster,Xeon E5-2673v3 12C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform DL360,HP Cluster Platform 3000,Infiniband,Infiniband FDR,North America,Americas,50172,179016
262,175,48,113,,"Cluster Platform DL360, Xeon E5-2673v3 12C 2.4GHz, Infiniband FDR",Software Company (M),HPE,United States,2016,Industry,36720,,1012.046,1410.048,,,,,,,Cluster,Xeon E5-2673v3 12C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform DL360,HP Cluster Platform 3000,Infiniband,Infiniband FDR,North America,Americas,50172,179015
263,176,45,125,Tryton,"HP ProLiant XL230a Gen9/Huawei RH1288/SOLAR 820 S5, Xeon E5-2670v3 12C 2.3GHz, Infiniband",Academic Computer Centre in Gdansk,Megatel/Action,Poland,2015,Academic,38400,,1010.94,1413.12,3482000,,,864,Derived,1.17,Cluster,Xeon E5-2670v3 12C 2.3GHz,Intel Haswell,2300,Linux,Linux,None,12,Intel Xeon E5 (Haswell),HP ProLiant XL230a Gen9,HP Cluster,Infiniband,Infiniband,Eastern Europe,Europe,50571,178552
264,177,47,93,NSCC,"PRIMERGY CX2550 M1 LC & CX2570 M1 LC, Xeon E5-2690v3 12C 2.6GHz, Infiniband EDR",National Supercomputing Centre Singapore,Fujitsu,Singapore,2016,Research,30912,,1010,1285.939,4180992,,,1159.2,Derived,0.871,Cluster,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,CentOS,Linux,None,12,Intel Xeon E5 (Haswell),PRIMERGY CX2550 M1 LC & CX2570 M1 LC,Fujitsu Cluster,Infiniband,Infiniband EDR,South-eastern Asia,Asia,50631,178792
