green500_rank,Rmax,total_power,Mflops/Watt,How?,Year,Computer,Total Cores,Name,Manufacturer,top500_rank,Site,Country,RPeak,Segment,Accelerator/Co-Processor Cores,Nmax,Architecture,Processor,Processor_Family,Proc_Frequency,OS,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
25,1252214,575.31,2176.590012,Submission,2012,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",114688,Blue Joule,IBM,23,Science and Technology Facilities Council - Daresbury Laboratory,United Kingdom,1468006,Research,0,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Northern Europe,Europe
26,17173224,7890,2176.580989,Submission,2011,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom",1572864,Sequoia,IBM,3,DOE/NNSA/LLNL,United States,20132659.2,Research,0,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
27,8586612,3945,2176.580989,Submission,2012,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",786432,Mira,IBM,5,DOE/SC/Argonne National Laboratory,United States,10066330,Research,0,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
28,715551,328.75,2176.580989,Submission,2012,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",65536,,IBM,45,CNRS/IDRIS-GENCI,France,838861,Academic,0,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Western Europe,Europe
29,715551,328.75,2176.580989,Submission,2012,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",65536,Zumbrota,IBM,46,EDF R&D,France,838861,Industry,0,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Western Europe,Europe
30,715551,328.75,2176.580989,Submission,2012,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",65536,Avoca,IBM,48,Victorian Life Sciences Computation Initiative,Australia,838861,Research,0,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Australia and New Zealand,Oceania
31,1788878,821.88,2176.568355,Submission,2012,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",163840,Fermi,IBM,15,CINECA,Italy,2097152,Academic,0,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Southern Europe,Europe
32,357776,164.38,2176.517825,Submission,2011,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom",32768,,IBM,87,IBM Rochester,United States,419430.4,Vendor,0,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
33,357776,164.38,2176.517825,Submission,2011,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom",32768,,IBM,88,IBM Rochester,United States,419430.4,Vendor,0,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
34,357776,164.38,2176.517825,Submission,2012,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",32768,BGQ,IBM,89,Southern Ontario Smart Computing Innovation Consortium/University of Toronto,Canada,419430.4,Academic,0,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
