green500_rank,top500_rank,Rmax,total_power,mflops_per_watt,how,Year,name,Total Cores,Computer,Site,Manufacturer,Country,Segment,Accelerator/Co-Processor Cores,Rpeak,Nmax,Nhalf,Architecture,Processor,processor_family,Proc_Frequency,operating_system,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,system_family,Interconnect Family,Interconnect,Region,Continent
452,387,264214,1552.5,143.0138486,Derived,2015,Avitohol,20700,"Cluster Platform SL230s Gen8, Intel Xeon E5-2650v2  8C 2.6GHz, Infiniband FDR, Intel Xeon Phi 7120P", Institute of Information and Communication Technologies at the Bulgarian Academy of Sciences,Hewlett-Packard,Bulgaria,Research,18300,412320,929600,0,Cluster,Intel Xeon E5-2650v2  8C 2.6GHz,Intel IvyBridge,2600,Linux,Linux,Intel Xeon Phi 7120P,8,Intel Xeon E5 (IvyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,Eastern Europe,Europe
453,385,266942,1910.10,139.7528925,Derived,2011,Zeus,25468,"Cluster Platform SL390/BL2x220, Xeon X5650 6C 2.660GHz, Infiniband QDR, NVIDIA 2090",Cyfronet,Hewlett-Packard,Poland,Academic,3328,373889.6,0,0,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390/BL2x220,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,Eastern Europe,Europe
454,196,461264,3375,136.6708148,Derived,2015,,54000,"Lenovo ThinkServer RD650, Xeon E5-2620v3 6C 2.4GHz, 10G Ethernet",Service Provider,Lenovo,China,Industry,0,2073600,5692000,0,Cluster,Xeon E5-2620v3 6C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,6,Intel Xeon E5 (Haswell),Lenovo ThinkServer RD650,Lenovo ThinkServer,10G,10G Ethernet,Eastern Asia,Asia
455,197,461264,3375,136.6708148,Derived,2015,,54000,"Lenovo ThinkServer RD650, Xeon E5-2620v3 6C 2.4GHz, 10G Ethernet",Service Provider,Lenovo,China,Industry,0,2073600,5692000,0,Cluster,Xeon E5-2620v3 6C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,6,Intel Xeon E5 (Haswell),Lenovo ThinkServer RD650,Lenovo ThinkServer,10G,10G Ethernet,Eastern Asia,Asia
456,419,243900,1814.40,134.4246032,Derived,2011,,24192,"HP POD - Cluster Platform 3000 BL260c G6, X5675 3.06 GHz, Infiniband",Airbus,Hewlett-Packard,France,Industry,0,296110,0,0,Cluster,Xeon X5675 6C 3.06GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL260c G6,HP Cluster Platform 3000BL,Infiniband,Infiniband QDR,Western Europe,Europe
457,327,298713.4,2227.20,134.1205999,Derived,2013,,29696,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",Banking (M),Hewlett-Packard,United States,Industry,0,617677,0,0,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
458,171,499226.1,3780.00,132.0703968,Derived,2013,,50400,"Cluster Platform SL230s Gen8, Intel Xeon E5-2680v2  10C 2.800GHz, Gigabit Ethernet",Energy Company (D),Hewlett-Packard,United States,Industry,0,1128960,0,0,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,None,10,Intel Xeon E5 (IvyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
459,307,322900,2456.40,131.4525322,Derived,2011,Zeus,27600,"SGI ICE 8400EX, Xeon X5690 6C 3.470GHz, Infiniband QDR",NOAA Environmental Security Computer Center,SGI,United States,Research,0,382648.32,2322432,0,MPP,Xeon X5690 6C 3.47GHz,Intel Nehalem,3470,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),SGI ICE 8400EX,SGI ICE,Infiniband,Infiniband QDR,North America,Americas
460,426,239900,1830.4,131.0642483,Derived,2013,Wilkes,4864,"Dell T620 Cluster, Intel Xeon E5-2630v2 6C 2.600GHz, Infiniband FDR, NVIDIA K20",Cambridge University,Dell,United Kingdom,Academic,3328,332662,845824,0,Cluster,Intel Xeon E5-2630v2 6C 2.6GHz,Intel IvyBridge,2600,Linux,Linux,NVIDIA Tesla K20,6,Intel Xeon E5 (IvyBridge),Dell T620 Cluster,Dell PowerEdge Cluster,Infiniband,Infiniband FDR,Northern Europe,Europe
461,222,419387,3244.80,129.2489522,Derived,2013,,43264,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet, NVIDIA 2075",IT Service Provider,Hewlett-Packard,United States,Industry,10976,1075350,0,0,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,NVIDIA 2075,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,10G,10G Ethernet,North America,Americas
462,348,286239.7,2218.50,129.0239802,Derived,2013,,29580,"Cluster Platform DL360p Gen8, Xeon E5-2640 6C 2.500GHz, Gigabit Ethernet",Logistic Services (E),Hewlett-Packard,United States,Industry,0,591600,0,0,Cluster,Xeon E5-2640 6C 2.5GHz,Intel SandyBridge,2500,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform DL360p Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
