Green500_Rank,Rmax,Power,How?,Mflops_Per_Watt,Total Cores,Year,Name,Manufacturer,Computer,Site,Country,Segment,Top500_Rank,Accelerator/Co-Processor Cores,Rpeak,Efficiency (%),Nmax,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
39,379306,299.88,Top500,1264.859277,27489,2011,Endeavor,Intel,"Intel Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi",Intel,United States,Industry,71,21777,502084.8,75.55,1566720,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,Intel Xeon Phi,8,Intel Xeon E5 (SandyBridge),Intel Cluster,Intel Cluster,Infiniband,Infiniband FDR,North America,Americas
40,500277,401,Submission,1247.573566,25800,2013,,Bull SA,"Bullx DLC B710 Blades, Intel Xeon E5 v2 12C 2.700GHz, Infiniband FDR",Météo France,France,Research,54,0,557280,89.77,1969296,Cluster,Intel Xeon E5 v2 12C 2.700GHz,Intel IvyBridge,2700,Bullx Linux,Linux,None,12,Intel Xeon E5 (IvyBridge),Bullx DLC B710 Blades,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe
41,125986,101,Top500,1247.386139,6480,2011,Manny,Bull SA,"Bullx DLC B710 Blades, Intel Xeon E5 v2 12C 2.700GHz, Infiniband FDR",Bull,France,Vendor,330,0,139968,90.01,986832,Cluster,Intel Xeon E5 v2 12C 2.700GHz,Intel IvyBridge,2700,Bullx Linux,Linux,None,12,Intel Xeon E5 (IvyBridge),Bullx DLC B710 Blades,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe
42,5168110,4510,Top500,1145.922395,462462,2012,Stampede,Dell,"PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi SE10P",Texas Advanced Computing Center/Univ. of Texas,United States,Academic,6,366366,8520111.6,60.66,3875000,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,Linux,Linux,Intel Xeon Phi SE10P,8,Intel Xeon E5 (SandyBridge),PowerEdge C8220,Dell PowerEdge Cluster,Infiniband,Infiniband FDR,North America,Americas
43,238200,226.8,Top500,1050.26455,14208,2012,Moonlight,Cray Inc.,"Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband QDR, NVIDIA 2090",Los Alamos National Laboratory,United States,Research,128,9472,492189,48.4,919936,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,NVIDIA 2090,8,Intel Xeon E5 (SandyBridge),Appro Xtreme-X Supercomputer,Appro Xtreme-X,Infiniband,Infiniband QDR,North America,Americas
44,133700,128.769,Submission,1038.293378,7308,2010,CSIRO GPU Cluster,Xenon Systems,"Nitro G16 3GPU, Xeon E5-2650 8C 2.000GHz, Infiniband FDR, NVIDIA 2050",CSIRO,Australia,Government,289,5292,226926,58.92,925285,Cluster,Xeon E5-2650 8C 2.000GHz,Intel SandyBridge,2000,Windows HPC 2008,Windows,NVIDIA 2050,8,Intel Xeon E5 (SandyBridge),Nitro G16 3GPU,Xenon Cluster,Infiniband,Infiniband FDR,Australia and New Zealand,Oceania
45,113211,109.21,Submission,1036.635839,5984,2013,,IBM,"BladeCenter HS23 Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Electronics,United States,Industry,386,0,124467,90.96,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),BladeCenter HS23 Cluster,IBM BladeCenter,Infiniband,Infiniband QDR,North America,Americas
46,113211,109.21,Submission,1036.635839,5984,2013,,IBM,"BladeCenter HS23 Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Electronics,United States,Industry,387,0,124467,90.96,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),BladeCenter HS23 Cluster,IBM BladeCenter,Infiniband,Infiniband QDR,North America,Americas
47,113211,109.21,Submission,1036.635839,5984,2013,,IBM,"BladeCenter HS23 Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Electronics,United States,Industry,388,0,124467,90.96,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),BladeCenter HS23 Cluster,IBM BladeCenter,Infiniband,Infiniband QDR,North America,Americas
48,421600,407.29,Top500,1035.134671,20800,2012,HA-PACS,Cray Inc.,"Xtream-X GreenBlade 8204, Xeon E5-2670 8C 2.600GHz, Infiniband QDR, NVIDIA 2090","Center for Computational Sciences, University of Tsukuba",Japan,Academic,62,16640,778128,54.18,1954559,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,NVIDIA 2090,8,Intel Xeon E5 (SandyBridge),Xtream-X GreenBlade 8204,Appro Xtreme-X,Infiniband,Infiniband QDR,Eastern Asia,Asia
49,109900,108.8,Submission,1010.110294,5040,2011,Curie hybrid,Bull SA,"Bullx B505, Xeon E5640 2.67 GHz, Infiniband QDR",CEA/TGCC-GENCI,France,Research,407,3920,198161.6,55.46,428646,Cluster,Xeon E5640 4C 2.670GHz,Intel Nehalem,2670,Linux,Linux,NVIDIA 2090,4,Xeon 5600-series (Westmere-EP),Bullx B505,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
50,146800,147.46,Top500,995.52421,14016,2012,RSC Tornado SUSU,RSC Group,"RSC Tornado, Xeon X5680 6C 3.330GHz, Infiniband QDR, Intel Xeon Phi SE10X",South Ural State University,Russia,Academic,249,11712,236820.48,61.99,695040,Cluster,Xeon X5680 6C 3.330GHz,Intel Nehalem,3330,CentOS,Linux,Intel Xeon Phi SE10X,6,Xeon 5600-series (Westmere-EP),RSC Tornado,RSC Cluster,Infiniband,Infiniband QDR,Eastern Europe,Europe
51,2098090,2118,Top500,990.5996223,110400,2013,Pangea,SGI,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Total Exploration Production,France,Industry,11,0,2296320,91.37,3862528,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,SUSE Linux Enterprise Server 11,Linux,None,8,Intel Xeon E5 (SandyBridge),SGI ICE X,SGI ICE X,Infiniband,Infiniband FDR,Western Europe,Europe
52,120400,126.27,Submission,953.5123149,8320,2011,HokieSpeed,Supermicro,"SuperServer  2026GT-TRF, Xeon E5645 6C 2.40GHz, Infiniband QDR, NVIDIA 2050",Virginia Tech,United States,Academic,351,5824,238201.6,50.55,355520,Cluster,Xeon E5620 4C 2.400GHz,Intel Nehalem,2400,CentOS,Linux,NVIDIA 2050,4,Xeon 5600-series (Westmere-EP),SuperServer 2026GT-TRF,Supermicro SuperServer,Infiniband,Infiniband QDR,North America,Americas
53,156217,167.5,Submission,932.638806,8064,2013,,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Geoscience,United States,Industry,230,0,167731,93.14,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
54,158696,170.16,Submission,932.6281147,8192,2012,Blue Wonder,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Science and Technology Facilities Council - Daresbury Laboratory,United Kingdom,Research,222,0,170394,93.13,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Northern Europe,Europe
