"","date","ExaRank","exascalar","top500rank","green500rank.g","rmax.g","power.g","mflopswatt","how.g","notes.g","year.g","name.g","totalcores.g","computer.g","site.g","manufacturer.g","country.g","segment.g","acceleratorcoprocessorcores.g","rpeak.g","nmax.g","nhalf.g","architecture.g","processor.g","processortechnology.g","processorspeedmhz.g","oatingsystem.g","osfamily.g","acceleratorcoprocessor.g","coressocket.g","processorgeneration.g","systemmodel.g","systemfamily.g","interconnectfamily.g","interconnect.g","region.g","continent.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax.t","rpeak.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t","rmax"
"245",2014-11-01,245,-3.97,245,226,237900,465.4,511.1731844,"Top500","",2012,"",11424,"Fujitsu PRIMERGY CX250 & RX300, Xeon E5-2690 8C 2.900GHz, Infiniband FDR/QDR","Institute for Molecular Science","Fujitsu","Japan","Research",0,"265,036.8",2228864,0,"Cluster","Xeon E5-2690 8C 2.9GHz","Intel SandyBridge",2900,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Fujitsu PRIMERGY CX250 & RX300","Fujitsu Cluster","Infiniband","Infiniband FDR/QDR","Eastern Asia","Asia",203,40,229,"","Fujitsu PRIMERGY CX250 & RX300, Xeon E5-2690 8C 2.900GHz, Infiniband FDR/QDR","Institute for Molecular Science","Fujitsu","Japan",2012,"Research",11424,0,"237900",265036.8,2228864,0,465.4,511.17,"Cluster","Xeon E5-2690 8C 2.9GHz","Intel SandyBridge",2900,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Fujitsu PRIMERGY CX250 & RX300","Fujitsu Cluster","Infiniband","Infiniband FDR/QDR","Eastern Asia","Asia",237900
"100",2014-11-01,246,-3.975,100,321,489415.2,2001.6,244.5119904,"Derived","",2014,"",26688,"Cluster Platform SL230s Gen8, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR","IT Provider (P)","Hewlett-Packard","United States","Industry",0,"576,460.8",0,0,"Cluster","Intel Xeon E5-2697v2 12C 2.7GHz","Intel IvyBridge",2700,"Linux","Linux","None",12,"Intel Xeon E5 (IvyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband FDR","North America","Americas",75,43,75,"","Cluster Platform SL230s Gen8, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR","IT Provider (P)","Hewlett-Packard","United States",2014,"Industry",26688,0,"489,415.2",576460.8,0,0,NA,NA,"Cluster","Intel Xeon E5-2697v2 12C 2.7GHz","Intel IvyBridge",2700,"Linux","Linux","None",12,"Intel Xeon E5 (IvyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband FDR","North America","Americas",489415.2
"346",2014-11-01,247,-3.975,346,213,188700,297.63,634.0086685,"Derived","",2012,"SAGA",12532,"Z24XX/SL390s Cluster, Xeon E5530/E5645 6C 2.40GHz, Infiniband QDR, NVIDIA 2090/2070","Vikram Sarabhai Space Centre, Indian Space Research Organisation","Hewlett Packard/WIPRO","India","Research",9432,"394760",660000,210000,"Cluster","Xeon E5645 6C 2.4GHz","Intel Nehalem",2400,"Linux","Linux","NVIDIA 2090",6,"Xeon 5600-series (Westmere-EP)","Z24XX/SL390s Cluster","Z24XX/SL390s Cluster","Infiniband","Infiniband QDR","South-central Asia","Asia",280,39,86,"SAGA","Z24XX/SL390s Cluster, Xeon E5530/E5645 6C 2.40GHz, Infiniband QDR, NVIDIA 2090/2070","Vikram Sarabhai Space Centre, Indian Space Research Organisation","Hewlett Packard/WIPRO","India",2012,"Research",12532,9432,"188700",394760,660000,210000,NA,NA,"Cluster","Xeon E5645 6C 2.4GHz","Intel Nehalem",2400,"Linux","Linux","NVIDIA 2090",6,"Xeon 5600-series (Westmere-EP)","Z24XX/SL390s Cluster","Z24XX/SL390s Cluster","Infiniband","Infiniband QDR","South-central Asia","Asia",188700
"441",2014-11-01,248,-3.978,441,185,162853.8,223.8,727.6756032,"Submission","",2014,"",8608,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Infiniband FDR","Defence","IBM","Australia","Government",0,"179,046.4",0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Infiniband","Infiniband FDR","Australia and New Zealand","Oceania",362,43,362,"","xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Infiniband FDR","Defence","IBM","Australia",2014,"Government",8608,0,"162,853.8",179046.4,0,0,223.8,727.68,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Infiniband","Infiniband FDR","Australia and New Zealand","Oceania",162853.8
"442",2014-11-01,249,-3.978,442,186,162853.8,223.8,727.6756032,"Submission","",2014,"",8608,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Infiniband FDR","Defence","IBM","Australia","Government",0,"179,046.4",0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Infiniband","Infiniband FDR","Australia and New Zealand","Oceania",363,43,363,"","xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Infiniband FDR","Defence","IBM","Australia",2014,"Government",8608,0,"162,853.8",179046.4,0,0,223.8,727.68,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Infiniband","Infiniband FDR","Australia and New Zealand","Oceania",162853.8
"426",2014-11-01,250,-3.988,426,201,163669,233.68,700.3979801,"Derived","",2014,"Deepthought2",10160,"Dell C8220/C8220X Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20","University of Maryland","Dell","United States","Academic",1040,"298208",2439048,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Redhat Enterprise Linux 6.4","Linux","NVIDIA K20",10,"Intel Xeon E5 (IvyBridge)","Dell C8220X Cluster","Dell PowerEdge Cluster","Infiniband","Infiniband FDR","North America","Americas",346,43,346,"Deepthought2","Dell C8220/C8220X Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20","University of Maryland","Dell","United States",2014,"Academic",10160,1040,"163669",298208,2439048,0,NA,NA,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Redhat Enterprise Linux 6.4","Linux","NVIDIA K20",10,"Intel Xeon E5 (IvyBridge)","Dell C8220X Cluster","Dell PowerEdge Cluster","Infiniband","Infiniband FDR","North America","Americas",163669
"451",2014-11-01,251,-3.99,451,199,161259,228.28,706.4087962,"Submission","",2013,"",8208,"xSeries x3650 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","Aerospace Company","IBM","United States","Industry",0,"177293",0,0,"Cluster","Xeon E5-2680 8C 2.7GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650 Cluster","IBM xSeries","Infiniband","Infiniband QDR","North America","Americas",372,41,216,"","xSeries x3650 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","Aerospace Company","IBM","United States",2013,"Industry",8208,0,"161259",177293,0,0,228.28,706.41,"Cluster","Xeon E5-2680 8C 2.7GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650 Cluster","IBM xSeries","Infiniband","Infiniband QDR","North America","Americas",161259
"487",2014-11-01,252,-3.992,487,188,155589,213.82,727.6634552,"Submission","",2013,"",8224,"xSeries x3650M4 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband","Electronics","IBM","United States","Industry",0,"177,638.4",0,0,"Cluster","Xeon E5-2680 8C 2.7GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Infiniband","Infiniband","North America","Americas",410,42,292,"","xSeries x3650M4 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband","Electronics","IBM","United States",2013,"Industry",8224,0,"155589",177638.4,0,0,213.82,727.66,"Cluster","Xeon E5-2680 8C 2.7GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Infiniband","Infiniband","North America","Americas",155589
"488",2014-11-01,253,-3.992,488,189,155589,213.82,727.6634552,"Submission","",2013,"",8224,"xSeries x3650M4 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband","Electronics","IBM","United States","Industry",0,"177,638.4",0,0,"Cluster","Xeon E5-2680 8C 2.7GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Infiniband","Infiniband","North America","Americas",411,42,293,"","xSeries x3650M4 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband","Electronics","IBM","United States",2013,"Industry",8224,0,"155589",177638.4,0,0,213.82,727.66,"Cluster","Xeon E5-2680 8C 2.7GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Infiniband","Infiniband","North America","Americas",155589
"264",2014-11-01,254,-4.003,264,233,225617,467,483.1199143,"Top500","",2012,"MOGON",33920,"MEGWARE Saxonid 6100, Opteron 6272 16C 2.100GHz, Infiniband QDR","Universitaet Mainz","MEGWARE","Germany","Academic",0,"284928",2830000,560000,"Cluster","Opteron 6272 16C 2.1GHz","AMD x86_64",2100,"Linux","Linux","None",16,"Opteron 6200 Series ""Interlagos""","MEGWARE Saxonid 6100","MEGWARE Cluster","Infiniband","Infiniband QDR","Western Europe","Europe",219,39,81,"MOGON","MEGWARE Saxonid 6100, Opteron 6272 16C 2.100GHz, Infiniband QDR","Universitaet Mainz","MEGWARE","Germany",2012,"Academic",33920,0,"225617",284928,2830000,560000,467,483.12,"Cluster","Opteron 6272 16C 2.1GHz","AMD x86_64",2100,"Linux","Linux","None",16,"Opteron 6200 Series ""Interlagos""","MEGWARE Saxonid 6100","MEGWARE Cluster","Infiniband","Infiniband QDR","Western Europe","Europe",225617
"327",2014-11-01,255,-4.006,327,224,192370,342.5,561.6642336,"Top500","",2014,"Sukuriputo Okane",46400,"SGI ICE X, Intel Xeon E5-2695v2 12C 2.4GHz, Infiniband FDR, NVIDIA 2090","C01N","SGI","Australia","Research",18560,"1305928",4032000,0,"Cluster","Intel Xeon E5-2695v2 12C 2.4GHz","Intel IvyBridge",2400,"CentOS","Linux","NVIDIA 2090",12,"Intel Xeon E5 (IvyBridge)","SGI ICE X","SGI ICE","Infiniband","Infiniband FDR","Australia and New Zealand","Oceania",NA,44,327,"Sukuriputo Okane","SGI ICE X, Intel Xeon E5-2695v2 12C 2.4GHz, Infiniband FDR, NVIDIA 2090","C01N","SGI","Australia",2014,"Research",46400,18560,"192370",1305928,4032000,0,342.5,561.66,"Cluster","Intel Xeon E5-2695v2 12C 2.4GHz","Intel IvyBridge",2400,"CentOS","Linux","NVIDIA 2090",12,"Intel Xeon E5 (IvyBridge)","SGI ICE X","SGI ICE","Infiniband","Infiniband FDR","Australia and New Zealand","Oceania",192370
"236",2014-11-01,256,-4.009,236,248,243900,556.3,438.4325004,"Top500","",2012,"",10240,"Hitachi SR16000 Model M1, POWER7 8C 3.836GHz, Custom","Institute for Materials Research, Tohoku University (IMR)","Hitachi","Japan","Academic",0,"306,388.9",1576960,0,"Cluster","POWER7 8C 3.84GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Hitachi SR16000 Model M1","Hitachi SR16000","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia",195,39,70,"","Hitachi SR16000 Model M1, POWER7 8C 3.836GHz, Custom","Institute for Materials Research, Tohoku University (IMR)","Hitachi","Japan",2012,"Academic",10240,0,"243900",306388.9,1576960,0,556.3,438.43,"Cluster","POWER7 8C 3.84GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Hitachi SR16000 Model M1","Hitachi SR16000","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia",243900
"239",2014-11-01,257,-4.011,239,246,240300,542.34,443.0799867,"Derived","",2011,"",37728,"Rackable C2112-4G3 Cluster, Opteron 12 Core 2.10 GHz, Infiniband QDR","Calcul Canada/Calcul Québec/Université de Sherbrooke","SGI","Canada","Academic",0,"316,915.2",2030280,0,"Cluster","Opteron 6172 12C 2.1GHz","AMD x86_64",2100,"Linux","Linux","None",12,"Opteron 6100-series ""Magny-Cours"" ","SGI Rackable C2112-4G3 Cluster","Rackable Cluster","Infiniband","Infiniband QDR","North America","Americas",198,38,41,"","Rackable C2112-4G3 Cluster, Opteron 12 Core 2.10 GHz, Infiniband QDR","Calcul Canada/Calcul QuÈbec/UniversitÈ de Sherbrooke","SGI","Canada",2011,"Academic",37728,0,"240300",316915.2,2030280,0,NA,NA,"Cluster","Opteron 6172 12C 2.1GHz","AMD x86_64",2100,"Linux","Linux","None",12,"Opteron 6100-series ""Magny-Cours"" ","SGI Rackable C2112-4G3 Cluster","Rackable Cluster","Infiniband","Infiniband QDR","North America","Americas",240300
"255",2014-11-01,258,-4.035,255,250,230600,540.4,426.7209474,"Top500","",2011,"Mustang",37056,"Xtreme-X 1320H-LANL, Opteron 12 Core 2.30 GHz, Infiniband QDR","Los Alamos National Laboratory","Cray Inc.","United States","Research",0,"340915",2240000,1120000,"Cluster","Opteron 6176 12C 2.3GHz","AMD x86_64",2300,"RHEL 6.1","Linux","None",12,"Opteron 6100-series ""Magny-Cours"" ","Xtreme-X 1320H-LANL","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas",212,38,46,"Mustang","Xtreme-X 1320H-LANL, Opteron 12 Core 2.30 GHz, Infiniband QDR","Los Alamos National Laboratory","Cray Inc.","United States",2011,"Research",37056,0,"230600",340915,2240000,1120000,540.4,426.72,"Cluster","Opteron 6176 12C 2.3GHz","AMD x86_64",2300,"RHEL 6.1","Linux","None",12,"Opteron 6100-series ""Magny-Cours"" ","Xtreme-X 1320H-LANL","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas",230600
"418",2014-11-01,259,-4.035,418,219,166700,282.43,590.2347484,"Top500","",2012,"",12288,"PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect","Research Institute for Information Technology, Kyushu University","Fujitsu","Japan","Academic",0,"181666",1623552,0,"Cluster","SPARC64 IXfx 16C 1.85GHz","Sparc",1848,"Linux","Linux","None",16,"SPARC64 IXfx","PRIMEHPC FX10","Fujitsu Cluster","Custom Interconnect","Tofu interconnect","Eastern Asia","Asia",339,39,106,"","PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect","Research Institute for Information Technology, Kyushu University","Fujitsu","Japan",2012,"Academic",12288,0,"166700",181666,1623552,0,NA,NA,"Cluster","SPARC64 IXfx 16C 1.85GHz","Sparc",1848,"Linux","Linux","None",16,"SPARC64 IXfx","PRIMEHPC FX10","Fujitsu Cluster","Custom Interconnect","Tofu interconnect","Eastern Asia","Asia",166700
"288",2014-11-01,260,-4.039,288,236,211703.7,462.3,457.935756,"Submission","",2011,"",8192,"Power 775, POWER7 8C 3.84 GHz, Custom","Environment Canada","IBM","Canada","Research",0,"251,396.1",0,0,"MPP","POWER7 8C 3.84GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","North America","Americas",236,38,57,"","Power 775, POWER7 8C 3.84 GHz, Custom","Environment Canada","IBM","Canada",2011,"Research",8192,0,"211,703.7",251396.1,0,0,462.3,457.94,"MPP","POWER7 8C 3.84GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","North America","Americas",211703.7
"289",2014-11-01,261,-4.039,289,237,211703.7,462.3,457.935756,"Submission","",2011,"",8192,"Power 775, POWER7 8C 3.84 GHz, Custom","Environment Canada","IBM","Canada","Research",0,"251,396.1",0,0,"MPP","POWER7 8C 3.84GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","North America","Americas",237,38,56,"","Power 775, POWER7 8C 3.84 GHz, Custom","Environment Canada","IBM","Canada",2011,"Research",8192,0,"211,703.7",251396.1,0,0,462.3,457.94,"MPP","POWER7 8C 3.84GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","North America","Americas",211703.7
"102",2014-11-01,262,-4.057,102,385,477968,2496,191.4935897,"Derived","",2014,"",33280,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2680v2  10C 2.8GHz, 10G Ethernet","IT Service Provider","Hewlett-Packard","United States","Industry",0,"745472",0,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",77,43,77,"","Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2680v2  10C 2.8GHz, 10G Ethernet","IT Service Provider","Hewlett-Packard","United States",2014,"Industry",33280,0,"477968",745472,0,0,NA,NA,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",477968
"224",2014-11-01,263,-4.061,224,263,253000,708.2,357.2437165,"Top500","",2012,"Plasma Simulator",10304,"Hitachi SR16000 Model M1, POWER7 8C 3.836GHz, Custom Interconnect","National Institute for Fusion Science (NIFS)","Hitachi","Japan","Research",0,"316,209.15",1858560,0,"Cluster","POWER7 8C 3.84GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Hitachi SR16000 Model M1","Hitachi SR16000","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia",186,33,65,"Plasma Simulator","Hitachi SR16000 Model M1, POWER7 8C 3.836GHz, Custom Interconnect","National Institute for Fusion Science (NIFS)","Hitachi","Japan",2012,"Research",10304,0,"253000",316209.15,1858560,0,708.2,357.24,"Cluster","POWER7 8C 3.84GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Hitachi SR16000 Model M1","Hitachi SR16000","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia",253000
"252",2014-11-01,264,-4.064,252,256,232694,604.8,384.7453704,"Derived","",2012,"",14720,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","IT Services Provider ","Hewlett-Packard","United States","Industry",0,"306176",0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","North America","Americas",211,40,108,"","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","IT Services Provider ","Hewlett-Packard","United States",2012,"Industry",14720,0,"232694",306176,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","North America","Americas",232694
"134",2014-11-01,265,-4.071,134,336,374946.6,1609.2,233.0018643,"Derived","",2014,"",28608,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2640 6C 2.5GHz, 10G Ethernet","IT Service Provider","Hewlett-Packard","United States","Industry",0,"572160",0,0,"Cluster","Xeon E5-2640 6C 2.5GHz","Intel SandyBridge",2500,"Linux","Linux","None",6,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",103,43,103,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2640 6C 2.5GHz, 10G Ethernet","IT Service Provider","Hewlett-Packard","United States",2014,"Industry",28608,0,"374,946.6",572160,0,0,NA,NA,"Cluster","Xeon E5-2640 6C 2.5GHz","Intel SandyBridge",2500,"Linux","Linux","None",6,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",374946.6
"108",2014-11-01,266,-4.074,108,390,457570.7,2419.2,189.1413277,"Derived","",2012,"",32256,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","Energy Company (D)","Hewlett-Packard","United States","Industry",0,"670925",0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","10G","10G Ethernet","North America","Americas",82,40,48,"","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","Energy Company (D)","Hewlett-Packard","United States",2012,"Industry",32256,0,"457,570.7",670925,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","10G","10G Ethernet","North America","Americas",457570.7
"243",2014-11-01,267,-4.078,243,262,238225.5,664.2,358.6653117,"Derived","",2014,"",16200,"Cluster Platform SL241n, Xeon E3-1280v3 4C 3.6GHz, Gigabit Ethernet","IT Service Provider","Hewlett-Packard","United States","Industry",0,"466560",0,0,"Cluster","Xeon E3-1280v3 4C 3.6GHz","Intel Haswell",3600,"Linux","Linux","None",4,"Intel Xeon E3 (Haswell)","Cluster Platform SL241n","HP Cluster Platform 3000SL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",201,43,201,"","Cluster Platform SL241n, Xeon E3-1280v3 4C 3.6GHz, Gigabit Ethernet","IT Service Provider","Hewlett-Packard","United States",2014,"Industry",16200,0,"238,225.5",466560,0,0,NA,NA,"Cluster","Xeon E3-1280v3 4C 3.6GHz","Intel Haswell",3600,"Linux","Linux","None",4,"Intel Xeon E3 (Haswell)","Cluster Platform SL241n","HP Cluster Platform 3000SL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",238225.5
"205",2014-11-01,268,-4.079,205,270,271245.3,864,313.9413194,"Derived","",2013,"",15360,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Automative Company","Hewlett-Packard","United States","Industry",0,"319488",0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","Infiniband","Infiniband FDR","North America","Americas",171,42,141,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Automative Company","Hewlett-Packard","United States",2013,"Industry",15360,0,"271,245.3",319488,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","Infiniband","Infiniband FDR","North America","Americas",271245.3
"150",2014-11-01,269,-4.086,150,320,339500,1382.4,245.5873843,"Derived","",2013,"",18432,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Air Force Research Laboratory","SGI","United States","Government",0,"383386",2049600,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"SUSE Linux Enterprise Server 11","Linux","None",8,"Intel Xeon E5 (SandyBridge)","SGI ICE X!","SGI ICE","Infiniband","Infiniband FDR","North America","Americas",119,41,81,"","SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Air Force Research Laboratory","SGI","United States",2013,"Government",18432,0,"339500",383386,2049600,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"SUSE Linux Enterprise Server 11","Linux","None",8,"Intel Xeon E5 (SandyBridge)","SGI ICE X!","SGI ICE","Infiniband","Infiniband FDR","North America","Americas",339500
"367",2014-11-01,270,-4.091,367,242,178625,390.07,457.9306278,"Submission","",2011,"",6912,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect","IBM Poughkeepsie Benchmarking Center","IBM","United States","Vendor",0,"212115",0,0,"MPP","POWER7 8C 3.84GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","North America","Americas",300,37,50,"","Power 775, POWER7 8C 3.836GHz, Custom Interconnect","IBM Poughkeepsie Benchmarking Center","IBM","United States",2011,"Vendor",6912,0,"178625",212115,0,0,390.07,457.93,"MPP","POWER7 8C 3.84GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","North America","Americas",178625
"162",2014-11-01,271,-4.096,162,312,319560.4,1267.2,252.178346,"Derived","",2011,"Keeneland",16896,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, NVIDIA 2090","Georgia Institute of Technology","Hewlett-Packard","United States","Research",12672,"614,539.2",0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","NVIDIA 2090",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL250s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband FDR","North America","Americas",130,36,118,"Keeneland","Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, NVIDIA 2090","Georgia Institute of Technology","Hewlett-Packard","United States",2011,"Research",16896,12672,"319,560.4",614539.2,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","NVIDIA 2090",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL250s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband FDR","North America","Americas",319560.4
