"","date","ExaRank","exascalar","green500rank","top500rank","rmax","power","mflopswatt","computer"
"392",2014-11-01,79,-3.409,3,392,169600,35.39,4447.584063,"LX 1U-4GPU/104Re-1G  Cluster, Intel Xeon E5-2620v2 6C 2.100GHz, Infiniband FDR, NVIDIA K20x"
"148",2014-11-01,80,-3.412,52,148,345600,159.64,2164.87096,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect "
"24",2014-11-01,81,-3.419,247,24,1654702,3747.07,441.5986669,"Cray XC30, Intel Xeon E5-2695v2 12C 2.4GHz, Aries interconnect "
"131",2014-11-01,82,-3.424,66,131,388442,209.95,1850.164325,"R2208GZ Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P"
"361",2014-11-01,83,-3.426,4,361,180200,44.54,3962.73013,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40m"
"27",2014-11-01,84,-3.43,245,27,1587000,3575.63,443.8378691,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect"
"38",2014-11-01,85,-3.434,223,38,1237000,2200,562.2727273,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR"
"318",2014-11-01,86,-3.439,6,318,193465,54.6,3543.315018,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.800GHz, Infiniband, NVIDIA K20x"
"71",2014-11-01,87,-3.453,128,71,719220,789.66,910.7970519,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"66",2014-11-01,88,-3.456,155,66,773700,924.16,837.1926939,"Xtreme-X GreenBlade GB512X, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, Infiniband QDR"
"78",2014-11-01,89,-3.458,129,78,705902,775.04,910.7942816,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"79",2014-11-01,90,-3.458,130,79,705902,775.04,910.7942816,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"222",2014-11-01,91,-3.462,20,222,254328,101.93,2495.124105,"Cray CS300-LC, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, Intel Xeon Phi 5110P"
