"","date","ExaRank","exascalar","top500rank","green500rank.g","rmax.g","power.g","how.g","mflopswatt","totalcores.g","year.g","name.g","manufacturer.g","computer.g","site.g","country.g","segment.g","acceleratorcoprocessorcores.g","rpeak.g","efficiency.g","nmax.g","architecture.g","processor.g","processortechnology.g","processorspeedmhz.g","oatingsystem.g","osfamily.g","acceleratorcoprocessor.g","coressocket.g","processorgeneration.g","systemmodel.g","systemfamily.g","interconnectfamily.g","interconnect.g","region.g","continent.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax","rpeak.t","efficiency.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"9",2013-06-01,11,-3.047,9,94,2897000,3422.67,"Submission",846.4152255,147456,2012,"SuperMUC","IBM","iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR","Leibniz Rechenzentrum","Germany","Academic",0,3185050,90.96,5201920,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Western Europe","Europe",6,39,4,"SuperMUC","iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR","Leibniz Rechenzentrum","IBM","Germany",2012,"Academic",147456,0,2897000,3185050,91,5201920,0,3423,846,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Western Europe","Europe"
"23",2013-06-01,12,-3.062,23,15,1073327,493.12,"Submission",2176.604072,98304,2012,"DiRAC","IBM","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","University of Edinburgh","United Kingdom","Academic",0,1258291,85.3,0,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Northern Europe","Europe",23,39,20,"DiRAC","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","University of Edinburgh","IBM","United Kingdom",2012,"Academic",98304,0,1073327,1258291,85,0,0,493,2177,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Northern Europe","Europe"
"11",2013-06-01,13,-3.098,11,51,2098090,2118,"Top500",990.5996223,110400,2013,"Pangea","SGI","SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Total Exploration Production","France","Industry",0,2296320,91.37,3862528,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"SUSE Linux Enterprise Server 11","Linux","None",8,"Intel Xeon E5 (SandyBridge)","SGI ICE X","SGI ICE X","Infiniband","Infiniband FDR","Western Europe","Europe",NA,41,11,"Pangea","SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Total Exploration Production","SGI","France",2013,"Industry",110400,0,2098090,2296320,91,3862528,0,2118,991,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"SUSE Linux Enterprise Server 11","Linux","None",8,"Intel Xeon E5 (SandyBridge)","SGI ICE X","SGI ICE X","Infiniband","Infiniband FDR","Western Europe","Europe"
"28",2013-06-01,14,-3.14,28,33,961861,510,"Top500",1886.001961,77520,2013,"Conte","Hewlett-Packard","Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P","Purdue University","United States","Academic",68400,1341096,71.72,1649631,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","Intel Xeon Phi 5110P",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL250s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband FDR","North America","Americas",NA,41,28,"Conte","Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P","Purdue University","Hewlett-Packard","United States",2013,"Academic",77520,68400,961861,1341096,72,1649631,0,510,1886,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","Intel Xeon Phi 5110P",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL250s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband FDR","North America","Americas"
"10",2013-06-01,15,-3.173,10,135,2566000,4040,"Top500",635.1485149,186368,2010,"Tianhe-1A","NUDT","NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050","National Supercomputing Center in Tianjin","China","Research",100352,4701000,54.58,3600000,"MPP","Xeon X5670 6C 2.930GHz","Intel Nehalem",2930,"Linux","Linux","NVIDIA 2050",6,"Xeon 5600-series (Westmere-EP)","NUDT YH MPP","NUDT MPP","Proprietary Network","Proprietary","Eastern Asia","Asia",8,36,1,"Tianhe-1A","NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050","National Supercomputing Center in Tianjin","NUDT","China",2010,"Research",186368,100352,2566000,4701000,55,3600000,1000000,4040,635,"MPP","Xeon X5670 6C 2.930GHz","Intel Nehalem",2930,"Linux","Linux","NVIDIA 2050",6,"Xeon 5600-series (Westmere-EP)","NUDT YH MPP","NUDT MPP","Proprietary Network","Proprietary","Eastern Asia","Asia"
"37",2013-06-01,16,-3.187,37,20,715551,328.75,"Submission",2176.580989,65536,2012,"","IBM","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","CNRS/IDRIS-GENCI","France","Academic",0,838861,85.3,0,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe",31,39,29,"","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","CNRS/IDRIS-GENCI","IBM","France",2012,"Academic",65536,0,715551,838861,85,0,0,329,2177,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe"
"38",2013-06-01,17,-3.187,38,21,715551,328.75,"Submission",2176.580989,65536,2012,"Zumbrota","IBM","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","EDF R&D","France","Industry",0,838861,85.3,0,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe",32,39,30,"Zumbrota","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","EDF R&D","IBM","France",2012,"Industry",65536,0,715551,838861,85,0,0,329,2177,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe"
"39",2013-06-01,18,-3.187,39,22,715551,328.75,"Submission",2176.580989,65536,2012,"Avoca","IBM","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","Victorian Life Sciences Computation Initiative","Australia","Research",0,838861,85.3,0,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Australia and New Zealand","Oceania",33,39,31,"Avoca","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","Victorian Life Sciences Computation Initiative","IBM","Australia",2012,"Research",65536,0,715551,838861,85,0,0,329,2177,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Australia and New Zealand","Oceania"
"52",2013-06-01,19,-3.254,52,4,421200,179.15,"Submission",2351.102428,38400,2012,"SANAM","Adtech","Adtech, ASUS ESC4000/FDR G2, Xeon E5-2650 8C 2.000GHz, Infiniband FDR, AMD FirePro S10000","King Abdulaziz City for Science and Technology","Saudi Arabia","Research",33600,1098000,48.51,1904640,"Cluster","Xeon E5-2650 8C 2.000GHz","Intel SandyBridge",2000,"Linux","Linux","AMD FirePro S10000",8,"Intel Xeon E5 (SandyBridge)","Adtech ESC4000/FDR G2","Adtech Cluster","Infiniband","Infiniband FDR","Western Asia","Asia",52,40,52,"SANAM","Adtech, ASUS ESC4000/FDR G2, Xeon E5-2650 8C 2.000GHz, Infiniband FDR, AMD FirePro S10000","King Abdulaziz City for Science and Technology","Adtech","Saudi Arabia",2012,"Research",38400,33600,532600,1098000,49,1904640,0,179,2973,"Cluster","Xeon E5-2650 8C 2.000GHz","Intel SandyBridge",2000,"Linux","Linux","AMD FirePro S10000",8,"Intel Xeon E5 (SandyBridge)","Adtech ESC4000/FDR G2","Adtech Cluster","Infiniband","Infiniband FDR","Western Asia","Asia"
"14",2013-06-01,20,-3.255,14,78,1415470,1606,"Top500",881.3636364,73584,2012,"Spirit","SGI","SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Air Force Research Laboratory","United States","Government",0,1530547.2,92.48,3128832,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"SUSE Linux Enterprise Server 11","Linux","None",8,"Intel Xeon E5 (SandyBridge)","SGI ICE X","SGI ICE X","Infiniband","Infiniband FDR","North America","Americas",69,40,69,"Spirit","SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Air Force Research Laboratory","SGI","United States",2012,"Government",73584,0,1415470,1530547,92,3128832,0,1606,881,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"SUSE Linux Enterprise Server 11","Linux","None",8,"Intel Xeon E5 (SandyBridge)","SGI ICE X","SGI ICE X","Infiniband","Infiniband FDR","North America","Americas"
