"","top500rank","green500rank.g","rmax.g","power.g","mflopswatt.g","how.g","year.g","name.g","totalcores.g","manufacturer.g","site.g","country.g","rpeak.g","segment.g","acceleratorcoprocessorcores.g","nmax.g","architecture.g","processor.g","processorfamily.g","procfrequency.g","os.g","osfamily.g","acceleratorcoprocessor.g","coressocket.g","processorgeneration.g","systemmodel.g","systemfamily.g","interconnectfamily.g","interconnect.g","region.g","continent.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax.t","rpeak.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"204",204,97,196234,217.2,903.4714549,"Top500",2013,"Inspur TS10000, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, K20M/Xeon Phi 5110P",8412,"Inspur","Shanghai Jiaotong University","China",262559.6,"Academic",1900,1671936,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Redhat Linux","Linux","K20M/Xeon Phi 5110P",8,"Intel Xeon E5 (SandyBridge)","Inspur TS10000","Inspur Cluster","Infiniband","Infiniband FDR","Eastern Asia","Asia",158,41,158,"","Inspur TS10000, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, K20M/Xeon Phi 5110P","Shanghai Jiaotong University","Inspur","China",2013,"Academic",8412,1900,196234,262560,1671936,0,217,903,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Redhat Linux","Linux","K20M/Xeon Phi 5110P",8,"Intel Xeon E5 (SandyBridge)","Inspur TS10000","Inspur Cluster","Infiniband","Infiniband FDR","Eastern Asia","Asia"
"205",205,404,194669.8,1387.2,140.3329008,"Derived",2013,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",18496,"Hewlett-Packard","Web-Service Provider","United States",384716.8,"Industry",0,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","10G","10G Ethernet","North America","Americas",136,41,136,"","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","Web-Service Provider","Hewlett-Packard","United States",2013,"Industry",18496,0,194670,384717,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","10G","10G Ethernet","North America","Americas"
"206",206,256,192522,741.6,259.6035599,"Derived",2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, 10G Ethernet",13184,"Hewlett-Packard","IT Service Provider","United States",274227,"Industry",0,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",159,41,159,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, 10G Ethernet","IT Service Provider","Hewlett-Packard","United States",2013,"Industry",13184,0,192522,274227,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas"
"207",207,255,192302,740.7,259.6219792,"Derived",2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, 10G Ethernet",13168,"Hewlett-Packard","IT Service Provider","United States",273894,"Industry",0,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",160,41,160,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, 10G Ethernet","IT Service Provider","Hewlett-Packard","United States",2013,"Industry",13168,0,192302,273894,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas"
"208",208,154,192100,264.32,726.7705811,"Derived",2013,"Cray XC30, Intel Xeon E5-2692v2 10C 3.000GHz, Aries interconnect ",9440,"Cray Inc.","PAWSEY CSIRO/iVEC","Australia",226560,"Research",0,1200000,"MPP","Intel Xeon E5-2690v2 10C 3.000GHz","Intel IvyBridge",3000,"Cray Linux Environment ","Linux","None",10,"Intel Xeon E5 (IvyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","Australia and New Zealand","Oceania",NA,42,208,"RTC","Cray XC30, Intel Xeon E5-2692v2 10C 3.000GHz, Aries interconnect ","PAWSEY CSIRO/iVEC","Cray Inc.","Australia",2013,"Research",9440,0,192100,226560,1200000,0,NA,NA,"MPP","Intel Xeon E5-2690v2 10C 3.000GHz","Intel IvyBridge",3000,"Cray Linux Environment ","Linux","None",10,"Intel Xeon E5 (IvyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","Australia and New Zealand","Oceania"
"209",209,133,191938,243.69,787.6318273,"Submission",2012,"xSeries x3750 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband FDR",10624,"IBM","CNRS/IDRIS-GENCI","France",229478,"Academic",0,0,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3750 Cluster","IBM xSeries","Infiniband","Infiniband FDR","Western Europe","Europe",161,40,123,"Ada","xSeries x3750 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband FDR","CNRS/IDRIS-GENCI","IBM","France",2012,"Academic",10624,0,191938,229478,0,0,244,788,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3750 Cluster","IBM xSeries","Infiniband","Infiniband FDR","Western Europe","Europe"
"210",210,53,191500,169,1133.136095,"Top500",2013,"NEC LX-2400, Intel Xeon E5-2660v2 10C 2.200GHz, Infiniband QDR",11200,"NEC","Universitaet Erlangen - Regionales Rechenzentrum Erlangen","Germany",197120,"Academic",0,1951840,"Cluster","Intel Xeon E5-2660v2 10C 2.200GHz","Intel IvyBridge",2200,"CentOS","Linux","None",10,"Intel Xeon E5 (IvyBridge)","NEC LX-2400","NEC Cluster","Infiniband","Infiniband QDR","Western Europe","Europe",NA,42,210,"Emmy","NEC LX-2400, Intel Xeon E5-2660v2 10C 2.200GHz, Infiniband QDR","Universitaet Erlangen - Regionales Rechenzentrum Erlangen","NEC","Germany",2013,"Academic",11200,0,191500,197120,1951840,0,169,1133,"Cluster","Intel Xeon E5-2660v2 10C 2.200GHz","Intel IvyBridge",2200,"CentOS","Linux","None",10,"Intel Xeon E5 (IvyBridge)","NEC LX-2400","NEC Cluster","Infiniband","Infiniband QDR","Western Europe","Europe"
"211",211,316,191400,831,230.3249097,"Top500",2009,"BX900 Xeon X5570 2.93GHz , Infiniband QDR",17072,"Fujitsu","Japan Atomic Energy Agency (JAEA)","Japan",200080,"Research",0,2401344,"Cluster","Xeon X5570 4C 2.930GHz","Intel Nehalem",2930,"Linux","Linux","None",4,"Xeon 5500-series (Nehalem-EP)","Fujitsu Cluster","Fujitsu Cluster","Infiniband","Infiniband QDR","Eastern Asia","Asia",162,35,22,"","BX900 Xeon X5570 2.93GHz , Infiniband QDR","Japan Atomic Energy Agency (JAEA)","Fujitsu","Japan",2009,"Research",17072,0,191400,200080,2401344,0,831,230,"Cluster","Xeon X5570 4C 2.930GHz","Intel Nehalem",2930,"Linux","Linux","None",4,"Xeon 5500-series (Nehalem-EP)","Fujitsu Cluster","Fujitsu Cluster","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"212",212,161,190953,285.38,669.1183685,"Submission",2012,"x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",10976,"IBM","Petroleum Company","United Kingdom",228301,"Industry",0,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Infiniband","Infiniband FDR","Northern Europe","Europe",163,40,125,"","x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Petroleum Company","IBM","United Kingdom",2012,"Industry",10976,0,190953,228301,0,0,285,669,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Infiniband","Infiniband FDR","Northern Europe","Europe"
"213",213,263,190947,756,252.5753968,"Derived",2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",13440,"Hewlett-Packard","Service Provider","United States",279552,"Industry",0,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",NA,42,213,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","Service Provider","Hewlett-Packard","United States",2013,"Industry",13440,0,190947,279552,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas"
"214",214,207,190900,504,378.7698413,"Submission",2009,"Blue Gene/P Solution",65536,"IBM","King Abdullah University of Science and Technology","Saudi Arabia",222822.4,"Academic",0,0,"MPP","PowerPC 450 4C 850MHz","Power",850,"CNK/SLES 9","Mixed","None",4,"PowerPC 450","BlueGene/P","IBM BlueGene","Proprietary Network","Proprietary","Western Asia","Asia",164,33,14,"Shaheen","Blue Gene/P Solution","King Abdullah University of Science and Technology","IBM","Saudi Arabia",2009,"Academic",65536,0,190900,222822,0,0,504,379,"MPP","PowerPC 450 4C 850MHz","Power",850,"CNK/SLES 9","Mixed","None",4,"PowerPC 450","BlueGene/P","IBM BlueGene","Proprietary Network","Proprietary","Western Asia","Asia"
"215",215,330,189651,872.1,217.4647403,"Derived",2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.200GHz, 10G Ethernet",15504,"Hewlett-Packard","IT Service Provider","United States",272870,"Industry",0,0,"Cluster","Xeon E5-2660 8C 2.200GHz","Intel SandyBridge",2200,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",165,41,165,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.200GHz, 10G Ethernet","IT Service Provider","Hewlett-Packard","United States",2013,"Industry",15504,0,189651,272870,0,0,NA,NA,"Cluster","Xeon E5-2660 8C 2.200GHz","Intel SandyBridge",2200,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas"
"216",216,16,188967,82.19,2299.148315,"Submission",2012,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",16384,"IBM","DOE/SC/Argonne National Laboratory","United States",209715,"Research",0,1409023,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",167,39,99,"Vesta","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","DOE/SC/Argonne National Laboratory","IBM","United States",2012,"Research",16384,0,188967,209715,1409023,0,82,2299,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"217",217,13,188967,82.19,2299.148315,"Submission",2012,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",16384,"IBM","DOE/SC/Argonne National Laboratory","United States",209715,"Research",0,1409023,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",166,39,100,"Cetus","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","DOE/SC/Argonne National Laboratory","IBM","United States",2012,"Research",16384,0,188967,209715,1409023,0,82,2299,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"218",218,43,188967,106,1782.707547,"Derived",2012,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",16384,"IBM","Ecole Polytechnique Federale de Lausanne","Switzerland",209715,"Academic",0,1409023,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe",168,40,141,"CADMOS BG/Q","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","Ecole Polytechnique Federale de Lausanne","IBM","Switzerland",2012,"Academic",16384,0,188967,209715,1409023,0,82,2299,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe"
"219",219,15,188967,82.19,2299.148315,"Submission",2013,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",16384,"IBM","IBM Rochester","United States",209715,"Vendor",0,1409023,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",NA,42,219,"","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","IBM Rochester","IBM","United States",2013,"Vendor",16384,0,188967,209715,1409023,0,82,2299,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"220",220,12,188967,82.19,2299.148315,"Submission",2011,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom",16384,"IBM","IBM Thomas J. Watson Research Center","United States",209715,"Research",0,1409023,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",169,37,109,"","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","IBM Thomas J. Watson Research Center","IBM","United States",2011,"Research",16384,0,188967,209715,1409023,0,82,2299,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"221",221,14,188967,82.19,2299.148315,"Submission",2012,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",16384,"IBM","Interdisciplinary Centre for Mathematical and Computational Modelling, University of Warsaw","Poland",209715,"Academic",0,1409023,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Eastern Europe","Europe",170,40,143,"","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","Interdisciplinary Centre for Mathematical and Computational Modelling, University of Warsaw","IBM","Poland",2012,"Academic",16384,0,188967,209715,1409023,0,82,2299,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Eastern Europe","Europe"
"222",222,17,188967,82.19,2299.148315,"Submission",2012,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",16384,"IBM","University of Rochester","United States",209715,"Academic",0,1409023,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",171,39,103,"","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","University of Rochester","IBM","United States",2012,"Academic",16384,0,188967,209715,1409023,0,82,2299,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"223",223,329,188738,867.6,217.5403412,"Derived",2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.200GHz, 10G Ethernet",15424,"Hewlett-Packard","Telecommunication Company","United States",271462,"Industry",0,0,"Cluster","Xeon E5-2660 8C 2.200GHz","Intel SandyBridge",2200,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",172,41,172,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.200GHz, 10G Ethernet","Telecommunication Company","Hewlett-Packard","United States",2013,"Industry",15424,0,188738,271462,0,0,NA,NA,"Cluster","Xeon E5-2660 8C 2.200GHz","Intel SandyBridge",2200,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas"
"224",224,250,188725,720,262.1180556,"Derived",2013,"Clustervision CV-AIRE5, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",9600,"ClusterVision","Universitaet Paderborn - PC2","Germany",199680,"Academic",0,1966080,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Scientific Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Clustervision CV-AIRE5","ClusterVision Cluster","Infiniband","Infiniband QDR","Western Europe","Europe",173,41,173,"OCuLUS (Owl CLUSter)","Clustervision CV-AIRE5, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Universitaet Paderborn - PC2","ClusterVision","Germany",2013,"Academic",9600,0,188725,199680,1966080,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Scientific Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Clustervision CV-AIRE5","ClusterVision Cluster","Infiniband","Infiniband QDR","Western Europe","Europe"
"225",225,173,188700,297.63,634.0086685,"Derived",2012,"Z24XX/SL390s Cluster, Xeon E5530/E5645 6C 2.40GHz, Infiniband QDR, NVIDIA 2090/2070",12532,"Hewlett Packard/WIPRO","Vikram Sarabhai Space Centre, Indian Space Research Organisation","India",394760,"Research",9432,660000,"Cluster","Xeon E5645 6C 2.400GHz","Intel Nehalem",2400,"Linux","Linux","NVIDIA 2090",6,"Xeon 5600-series (Westmere-EP)","Z24XX/SL390s Cluster","Z24XX/SL390s Cluster","Infiniband","Infiniband QDR","South-central Asia","Asia",174,39,86,"SAGA","Z24XX/SL390s Cluster, Xeon E5530/E5645 6C 2.40GHz, Infiniband QDR, NVIDIA 2090/2070","Vikram Sarabhai Space Centre, Indian Space Research Organisation","Hewlett Packard/WIPRO","India",2012,"Research",12532,9432,188700,394760,660000,210000,NA,NA,"Cluster","Xeon E5645 6C 2.400GHz","Intel Nehalem",2400,"Linux","Linux","NVIDIA 2090",6,"Xeon 5600-series (Westmere-EP)","Z24XX/SL390s Cluster","Z24XX/SL390s Cluster","Infiniband","Infiniband QDR","South-central Asia","Asia"
"226",226,76,187373,205.72,910.8156718,"Submission",2012,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",9904,"IBM","Max-Planck-Gesellschaft MPI/IPP","Germany",206003,"Research",0,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Western Europe","Europe",175,39,87,"","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Max-Planck-Gesellschaft MPI/IPP","IBM","Germany",2012,"Research",9904,0,187373,206003,0,0,206,911,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Western Europe","Europe"
"227",227,141,186900,252,741.6666667,"Top500",2011,"Cluster Platform 3000 SL6500, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, FDR Infiniband",10368,"Hewlett-Packard","Purdue University","United States",215654.4,"Academic",0,1471712,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 SL6500","HP Cluster Platform 3000SL","Infiniband","Infiniband FDR","North America","Americas",176,38,54,"Carter","Cluster Platform 3000 SL6500, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, FDR Infiniband","Purdue University","Hewlett-Packard","United States",2011,"Academic",10368,0,186900,215654,1471712,0,252,742,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 SL6500","HP Cluster Platform 3000SL","Infiniband","Infiniband FDR","North America","Americas"
"228",228,453,186888,1726.8,108.2279361,"Derived",2013,"Cluster Platform DL360e Gen8, Xeon E5-2450 8C 2.100GHz, Gigabit Ethernet",23024,"Hewlett-Packard","Software Company (M)","United States",386803,"Industry",0,0,"Cluster","Xeon E5-2450 8C 2.100GHz","Intel SandyBridge",2100,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform DL360e Gen8","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",177,41,177,"","Cluster Platform DL360e Gen8, Xeon E5-2450 8C 2.100GHz, Gigabit Ethernet","Software Company (M)","Hewlett-Packard","United States",2013,"Industry",23024,0,186888,386803,0,0,NA,NA,"Cluster","Xeon E5-2450 8C 2.100GHz","Intel SandyBridge",2100,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform DL360e Gen8","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"229",229,254,186782,718.2,260.0696185,"Derived",2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",12768,"Hewlett-Packard","IT Services Provider ","Japan",265574,"Others",0,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","Eastern Asia","Asia",178,41,178,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","IT Services Provider ","Hewlett-Packard","Japan",2013,"Others",12768,0,186782,265574,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","Eastern Asia","Asia"
"230",230,252,186118,715.5,260.1229909,"Derived",2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",12720,"Hewlett-Packard","IT Service Provider","Israel",264576,"Industry",0,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","Western Asia","Asia",179,41,179,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","IT Service Provider","Hewlett-Packard","Israel",2013,"Industry",12720,0,186118,264576,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","Western Asia","Asia"
"231",231,467,186111,1836,101.3676471,"Derived",2013,"Cluster Platform DL380p Gen8 , Xeon E5-2650 8C 2.000GHz, Gigabit Ethernet",24480,"Hewlett-Packard","Web Content Provider","United States",391680,"Industry",0,0,"Cluster","Xeon E5-2650 8C 2.000GHz","Intel SandyBridge",2000,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform DL380p Gen8 ","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",180,41,180,"","Cluster Platform DL380p Gen8 , Xeon E5-2650 8C 2.000GHz, Gigabit Ethernet","Web Content Provider","Hewlett-Packard","United States",2013,"Industry",24480,0,186111,391680,0,0,NA,NA,"Cluster","Xeon E5-2650 8C 2.000GHz","Intel SandyBridge",2000,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform DL380p Gen8 ","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"232",232,201,184809,445.2,415.1145553,"Derived",2013,"Cray CS300-AC, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",10176,"Cray Inc.","DOE/Bettis Atomic Power Laboratory","United States",211661,"Research",0,1886976,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"SUSE Linux Enterprise Server 11","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cray CS300-AC","Cray CS300","Infiniband","Infiniband QDR","North America","Americas",181,41,181,"","Cray CS300-AC, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","DOE/Bettis Atomic Power Laboratory","Cray Inc.","United States",2013,"Research",10176,0,184809,211661,1886976,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"SUSE Linux Enterprise Server 11","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cray CS300-AC","Cray CS300","Infiniband","Infiniband QDR","North America","Americas"
