"","top500rank","green500rank.g","rmax.g","power.g","mflopswatt.g","how.g","year.g","name.g","totalcores.g","manufacturer.g","site.g","country.g","rpeak.g","segment.g","acceleratorcoprocessorcores.g","nmax.g","architecture.g","processor.g","processorfamily.g","procfrequency.g","os.g","osfamily.g","acceleratorcoprocessor.g","coressocket.g","processorgeneration.g","systemmodel.g","systemfamily.g","interconnectfamily.g","interconnect.g","region.g","continent.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax.t","rpeak.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"425",425,115,129254,148.6,869.8115747,"Submission",2013,"IBM Flex System x240, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",6832,"IBM","Automotive","United States",142106,"Industry",0,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","IBM Flex System x240","IBM Flex System","Infiniband","Infiniband FDR","North America","Americas",NA,42,425,"","IBM Flex System x240, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Automotive","IBM","United States",2013,"Industry",6832,0,129254,142106,0,0,149,870,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","IBM Flex System x240","IBM Flex System","Infiniband","Infiniband FDR","North America","Americas"
"426",426,245,129250,492.3,262.5431647,"Derived",2012,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",8752,"Hewlett-Packard","Semiconductor Company (F)","India",182042,"Industry",0,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","South-central Asia","Asia",309,40,199,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","Semiconductor Company (F)","Hewlett-Packard","India",2012,"Industry",8752,0,129250,182042,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","South-central Asia","Asia"
"427",427,246,129250,492.3,262.5431647,"Derived",2012,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",8752,"Hewlett-Packard","Semiconductor Company (F)","India",182042,"Industry",0,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","South-central Asia","Asia",310,40,200,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","Semiconductor Company (F)","Hewlett-Packard","India",2012,"Industry",8752,0,129250,182042,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","South-central Asia","Asia"
"428",428,229,128816,468,275.2478632,"Derived",2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2680 8C 2.700GHz, 10G Ethernet",8320,"Hewlett-Packard","Network Company","India",179712,"Industry",0,0,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","South-central Asia","Asia",311,41,311,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2680 8C 2.700GHz, 10G Ethernet","Network Company","Hewlett-Packard","India",2013,"Industry",8320,0,128816,179712,0,0,NA,NA,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","South-central Asia","Asia"
"429",429,484,128683,1800,71.49055556,"Derived",2012,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet",24000,"Hewlett-Packard","IT Services Provider ","United States",255360,"Industry",0,0,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",312,40,201,"","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet","IT Services Provider ","Hewlett-Packard","United States",2012,"Industry",24000,0,128683,255360,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"430",430,485,128683,1800,71.49055556,"Derived",2012,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet",24000,"Hewlett-Packard","IT Services Provider ","United States",255360,"Industry",0,0,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",313,40,202,"","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet","IT Services Provider ","Hewlett-Packard","United States",2012,"Industry",24000,0,128683,255360,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"431",431,125,128566.95,156.06,823.8302576,"Submission",2013,"iDataPlex DX360M4, Xeon E5-2680 8C 2.700GHz, Infiniband",6544,"IBM","Financial Securities","United States",141350,"Industry",0,0,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband","North America","Americas",NA,42,431,"","iDataPlex DX360M4, Xeon E5-2680 8C 2.700GHz, Infiniband","Financial Securities","IBM","United States",2013,"Industry",6544,0,128567,141350,0,0,156,824,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband","North America","Americas"
"432",432,370,128276,690.51,185.7699382,"Submission",2013,"xSeries x3650M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet",22764,"IBM","E-Commerce","United States",230372,"Industry",0,0,"Cluster","Xeon E5649 6C 2.530GHz","Intel Nehalem",2530,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",NA,42,432,"","xSeries x3650M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","E-Commerce","IBM","United States",2013,"Industry",22764,0,128276,230372,0,0,691,186,"Cluster","Xeon E5649 6C 2.530GHz","Intel Nehalem",2530,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"433",433,371,128276,690.51,185.7699382,"Submission",2013,"xSeries x3650M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet",22764,"IBM","E-Commerce","United States",230372,"Industry",0,0,"Cluster","Xeon E5649 6C 2.530GHz","Intel Nehalem",2530,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",NA,42,433,"","xSeries x3650M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","E-Commerce","IBM","United States",2013,"Industry",22764,0,128276,230372,0,0,691,186,"Cluster","Xeon E5649 6C 2.530GHz","Intel Nehalem",2530,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"434",434,492,128119,2331.6,54.94896209,"Derived",2013,"Cluster Platform SL335s Gen7, Opteron 4171 6C 2.100GHz, 10G Ethernet",23316,"Hewlett-Packard","Software Company (M)","Ireland",195854,"Industry",0,0,"Cluster","Opteron 4171 6C 2.100GHz","AMD x86_64",2100,"Linux","Linux","None",6,"Opteron 4100-series ""Lisbon""","Cluster Platform SL335s Gen7","HP Cluster Platform 3000SL","10G","10G Ethernet","Northern Europe","Europe",NA,42,434,"","Cluster Platform SL335s Gen7, Opteron 4171 6C 2.100GHz, 10G Ethernet","Software Company (M)","Hewlett-Packard","Ireland",2013,"Industry",23316,0,128119,195854,0,0,NA,NA,"Cluster","Opteron 4171 6C 2.100GHz","AMD x86_64",2100,"Linux","Linux","None",6,"Opteron 4100-series ""Lisbon""","Cluster Platform SL335s Gen7","HP Cluster Platform 3000SL","10G","10G Ethernet","Northern Europe","Europe"
"435",435,225,127937.65,414.35,308.7671051,"Submission",2013,"BladeCenter HS23 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",22704,"IBM","Communications","Israel",472243,"Industry",0,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","BladeCenter HS23 Cluster","IBM BladeCenter","Gigabit Ethernet","Gigabit Ethernet","Western Asia","Asia",NA,42,435,"","BladeCenter HS23 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet","Communications","IBM","Israel",2013,"Industry",22704,0,127938,472243,0,0,414,309,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","BladeCenter HS23 Cluster","IBM BladeCenter","Gigabit Ethernet","Gigabit Ethernet","Western Asia","Asia"
"436",436,345,127937.65,652.74,196.0009345,"Submission",2013,"iDataPlex DX360M3, Xeon E5645 6C 2.400GHz, Gigabit Ethernet",22704,"IBM","Digital Media","United States",217958,"Industry",0,0,"Cluster","Xeon E5645 6C 2.400GHz","Intel Nehalem",2400,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",NA,42,436,"","iDataPlex DX360M3, Xeon E5645 6C 2.400GHz, Gigabit Ethernet","Digital Media","IBM","United States",2013,"Industry",22704,0,127938,217958,0,0,653,196,"Cluster","Xeon E5645 6C 2.400GHz","Intel Nehalem",2400,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"437",437,488,127902.6,2146.5,59.58658281,"Derived",2012,"Cluster Platform 4000 BL465c G7, Opteron 6176 12C 2.30GHz, Gigabit Ethernet",28620,"Hewlett-Packard","IT Service Provider (D)","United States",263304,"Industry",0,0,"Cluster","Opteron 6176 12C 2.300GHz","AMD x86_64",2300,"Linux","Linux","None",12,"Opteron 6100-series ""Magny-Cours"" ","Cluster Platform 4000 BL465c G7","HP Cluster Platform 4000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",314,39,136,"","Cluster Platform 4000 BL465c G7, Opteron 6176 12C 2.30GHz, Gigabit Ethernet","IT Service Provider (D)","Hewlett-Packard","United States",2012,"Industry",28620,0,127903,263304,0,0,NA,NA,"Cluster","Opteron 6176 12C 2.300GHz","AMD x86_64",2300,"Linux","Linux","None",12,"Opteron 6100-series ""Magny-Cours"" ","Cluster Platform 4000 BL465c G7","HP Cluster Platform 4000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"438",438,494,127591,2322,54.94875108,"Derived",2013,"Cluster Platform SL335s Gen7, Opteron 4171 6C 2.100GHz, 10G Ethernet",23220,"Hewlett-Packard","Software Company (M)","Netherlands",195048,"Industry",0,0,"Cluster","Opteron 4171 6C 2.100GHz","AMD x86_64",2100,"Linux","Linux","None",6,"Opteron 4100-series ""Lisbon""","Cluster Platform SL335s Gen7","HP Cluster Platform 3000SL","10G","10G Ethernet","Western Europe","Europe",NA,42,438,"","Cluster Platform SL335s Gen7, Opteron 4171 6C 2.100GHz, 10G Ethernet","Software Company (M)","Hewlett-Packard","Netherlands",2013,"Industry",23220,0,127591,195048,0,0,NA,NA,"Cluster","Opteron 4171 6C 2.100GHz","AMD x86_64",2100,"Linux","Linux","None",6,"Opteron 4100-series ""Lisbon""","Cluster Platform SL335s Gen7","HP Cluster Platform 3000SL","10G","10G Ethernet","Western Europe","Europe"
"439",439,414,127156.2,960,132.454375,"Derived",2013,"Cluster Platform DL388p, Xeon E5-2609  4C 2.400GHz, Gigabit Ethernet",12800,"Hewlett-Packard","Logistic Services","China",245760,"Industry",0,0,"Cluster","Xeon E5-2609  4C 2.400GHz","Intel SandyBridge",2400,"Linux","Linux","None",4,"Intel Xeon E5 (SandyBridge)","Cluster Platform DL388p","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",NA,42,439,"","Cluster Platform DL388p, Xeon E5-2609  4C 2.400GHz, Gigabit Ethernet","Logistic Services","Hewlett-Packard","China",2013,"Industry",12800,0,127156,245760,0,0,NA,NA,"Cluster","Xeon E5-2609  4C 2.400GHz","Intel SandyBridge",2400,"Linux","Linux","None",4,"Intel Xeon E5 (SandyBridge)","Cluster Platform DL388p","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"440",440,413,127081,959.4,132.4588284,"Derived",2013,"Cluster Platform DL380p Gen8 , Xeon E5-2609  4C 2.400GHz, Gigabit Ethernet",12792,"Hewlett-Packard","IT Services Provider (B)","China",245606,"Industry",0,0,"Cluster","Xeon E5-2609  4C 2.400GHz","Intel SandyBridge",2400,"Linux","Linux","None",4,"Intel Xeon E5 (SandyBridge)","Cluster Platform DL380p Gen8 ","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",316,41,316,"","Cluster Platform DL380p Gen8 , Xeon E5-2609  4C 2.400GHz, Gigabit Ethernet","IT Services Provider (B)","Hewlett-Packard","China",2013,"Industry",12792,0,127081,245606,0,0,NA,NA,"Cluster","Xeon E5-2609  4C 2.400GHz","Intel SandyBridge",2400,"Linux","Linux","None",4,"Intel Xeon E5 (SandyBridge)","Cluster Platform DL380p Gen8 ","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"441",441,328,126967,578.7,219.4003802,"Derived",2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2650 8C 2.000GHz, Infiniband QDR",10288,"Hewlett-Packard","IT Service Provider","United Kingdom",164608,"Industry",0,0,"Cluster","Xeon E5-2650 8C 2.000GHz","Intel SandyBridge",2000,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","Infiniband","Infiniband QDR","Northern Europe","Europe",317,41,317,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2650 8C 2.000GHz, Infiniband QDR","IT Service Provider","Hewlett-Packard","United Kingdom",2013,"Industry",10288,0,126967,164608,0,0,NA,NA,"Cluster","Xeon E5-2650 8C 2.000GHz","Intel SandyBridge",2000,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","Infiniband","Infiniband QDR","Northern Europe","Europe"
