"","date","ExaRank","exascalar","top500rank","green500rank.g","rmax.g","power.g","mflopswatt","how.g","year.g","computer.g","name.g","totalcores.g","site.g","manufacturer.g","country.g","segment.g","acceleratorcoprocessorcores.g","rpeak.g","nmax.g","nhalf.g","architecture.g","processor.g","processorfamily.g","procfrequency.g","oatingsystem.g","osfamily.g","acceleratorcoprocessor.g","coressocket.g","processorgeneration.g","systemmodel.g","systemfamily.g","interconnectfamily.g","interconnect.g","region.g","continent.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax","rpeak.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"363",2014-06-01,212,-3.978,363,157,162853.8,223.8,727.68,"Submission",2014,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Infiniband FDR","",8608,"Defence","IBM","Australia","Government",0,179046.4,0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Infiniband","Infiniband FDR","Australia and New Zealand","Oceania",NA,43,363,"","xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Infiniband FDR","Defence","IBM","Australia",2014,"Government",8608,0,162854,179046,0,0,224,728,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Infiniband","Infiniband FDR","Australia and New Zealand","Oceania"
"364",2014-06-01,213,-3.978,364,158,162853.8,223.8,727.68,"Submission",2014,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Infiniband FDR","",8608,"Defence","IBM","Australia","Government",0,179046.4,0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Infiniband","Infiniband FDR","Australia and New Zealand","Oceania",NA,43,364,"","xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Infiniband FDR","Defence","IBM","Australia",2014,"Government",8608,0,162854,179046,0,0,224,728,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Infiniband","Infiniband FDR","Australia and New Zealand","Oceania"
"347",2014-06-01,214,-3.988,347,173,163669,233.68,700.4,"Derived",2014,"Dell C8220/C8220X Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband FDR, NVIDIA K20","Deepthought2",10160,"University of Maryland","Dell","United States","Academic",1040,298208,2439048,0,"Cluster","Intel Xeon E5-2680v2 10C 2.8GHz","Intel IvyBridge",2800,"Redhat Enterprise Linux 6.4","Linux","NVIDIA K20",10,"Intel Xeon E5 (IvyBridge)","Dell C8220X Cluster","Dell PowerEdge Cluster","Infiniband","Infiniband FDR","North America","Americas",NA,43,347,"Deepthought2","Dell C8220/C8220X Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20","University of Maryland","Dell","United States",2014,"Academic",10160,1040,163669,298208,2439048,0,NA,NA,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Redhat Enterprise Linux 6.4","Linux","NVIDIA K20",10,"Intel Xeon E5 (IvyBridge)","Dell C8220X Cluster","Dell PowerEdge Cluster","Infiniband","Infiniband FDR","North America","Americas"
"373",2014-06-01,215,-3.99,373,172,161259,228.28,706.41,"Submission",2013,"xSeries x3650 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","",8208,"Aerospace Company","IBM","United States","Industry",0,177293,0,0,"Cluster","Xeon E5-2680 8C 2.7GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650 Cluster","IBM xSeries","Infiniband","Infiniband QDR","North America","Americas",275,41,216,"","xSeries x3650 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","Aerospace Company","IBM","United States",2013,"Industry",8208,0,161259,177293,0,0,228,706,"Cluster","Xeon E5-2680 8C 2.7GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650 Cluster","IBM xSeries","Infiniband","Infiniband QDR","North America","Americas"
"411",2014-06-01,216,-3.992,411,160,155589,213.82,727.66,"Submission",2013,"xSeries x3650M4 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband","",8224,"Electronics","IBM","United States","Industry",0,177638.4,0,0,"Cluster","Xeon E5-2680 8C 2.7GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Infiniband","Infiniband","North America","Americas",292,42,292,"","xSeries x3650M4 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband","Electronics","IBM","United States",2013,"Industry",8224,0,155589,177638,0,0,214,728,"Cluster","Xeon E5-2680 8C 2.7GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Infiniband","Infiniband","North America","Americas"
"412",2014-06-01,217,-3.992,412,161,155589,213.82,727.66,"Submission",2013,"xSeries x3650M4 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband","",8224,"Electronics","IBM","United States","Industry",0,177638.4,0,0,"Cluster","Xeon E5-2680 8C 2.7GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Infiniband","Infiniband","North America","Americas",293,42,293,"","xSeries x3650M4 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband","Electronics","IBM","United States",2013,"Industry",8224,0,155589,177638,0,0,214,728,"Cluster","Xeon E5-2680 8C 2.7GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Infiniband","Infiniband","North America","Americas"
"220",2014-06-01,218,-4.003,220,208,225617,467,483.12,"Top500",2012,"Saxonid 6100, Opteron 6272 16C 2.100GHz, Infiniband QDR","MOGON",33920,"Universitaet Mainz","MEGWARE","Germany","Academic",0,284928,2830000,560000,"Cluster","Opteron 6272 16C 2.1GHz","AMD x86_64",2100,"Linux","Linux","None",16,"Opteron 6200 Series ""Interlagos""","MEGWARE Saxonid 6100","MEGWARE Cluster","Infiniband","Infiniband QDR","Western Europe","Europe",181,39,81,"MOGON","Saxonid 6100, Opteron 6272 16C 2.100GHz, Infiniband QDR","Universitaet Mainz","MEGWARE","Germany",2012,"Academic",33920,0,225617,284928,2830000,560000,467,483,"Cluster","Opteron 6272 16C 2.1GHz","AMD x86_64",2100,"Linux","Linux","None",16,"Opteron 6200 Series ""Interlagos""","MEGWARE Saxonid 6100","MEGWARE Cluster","Infiniband","Infiniband QDR","Western Europe","Europe"
"196",2014-06-01,219,-4.009,196,221,243900,556.3,438.43,"Top500",2012,"Hitachi SR16000 Model M1, POWER7 8C 3.836GHz, Custom","",10240,"Institute for Materials Research, Tohoku University (IMR)","Hitachi","Japan","Academic",0,306388.9,1576960,0,"Cluster","POWER7 8C 3.84GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Hitachi SR16000 Model M1","Hitachi SR16000","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia",162,39,70,"","Hitachi SR16000 Model M1, POWER7 8C 3.836GHz, Custom","Institute for Materials Research, Tohoku University (IMR)","Hitachi","Japan",2012,"Academic",10240,0,243900,306389,1576960,0,556,438,"Cluster","POWER7 8C 3.84GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Hitachi SR16000 Model M1","Hitachi SR16000","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia"
"199",2014-06-01,220,-4.011,199,219,240300,542.34,443.08,"Derived",2011,"Rackable C2112-4G3 Cluster, Opteron 12 Core 2.10 GHz, Infiniband QDR","",37728,"Calcul Canada/Calcul Québec/Université de Sherbrooke","SGI","Canada","Academic",0,316915.2,2030280,0,"Cluster","Opteron 6172 12C 2.1GHz","AMD x86_64",2100,"Linux","Linux","None",12,"Opteron 6100-series ""Magny-Cours""","SGI Rackable C2112-4G3 Cluster","Rackable Cluster","Infiniband","Infiniband QDR","North America","Americas",164,38,41,"","Rackable C2112-4G3 Cluster, Opteron 12 Core 2.10 GHz, Infiniband QDR","Calcul Canada/Calcul Québec/Université de Sherbrooke","SGI","Canada",2011,"Academic",37728,0,240300,316915,2030280,0,NA,NA,"Cluster","Opteron 6172 12C 2.1GHz","AMD x86_64",2100,"Linux","Linux","None",12,"Opteron 6100-series ""Magny-Cours"" ","SGI Rackable C2112-4G3 Cluster","Rackable Cluster","Infiniband","Infiniband QDR","North America","Americas"
"93",2014-06-01,221,-4.015,93,291,413823,1632,253.57,"Derived",2014,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband FDR","",21760,"Aerospace Company","Hewlett-Packard","United States","Industry",0,487424,0,0,"Cluster","Intel Xeon E5-2680v2 10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","Infiniband","Infiniband FDR","North America","Americas",NA,43,93,"","Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR","Aerospace Company","Hewlett-Packard","United States",2014,"Industry",21760,0,413823,487424,0,0,NA,NA,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","Infiniband","Infiniband FDR","North America","Americas"
"490",2014-06-01,222,-4.022,490,150,136700,182,751.1,"Top500",2010,"Bullx B510, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","WillowA",7488,"AWE","Bull SA","United Kingdom","Research",0,161740,1786550,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Bullx B510","Bull Bullx","Infiniband","Infiniband QDR","Northern Europe","Europe",373,35,321,"WillowA","Bullx B510, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","AWE","Bull SA","United Kingdom",2010,"Research",7488,0,136700,161740,1786550,0,182,751,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Bullx B510","Bull Bullx","Infiniband","Infiniband QDR","Northern Europe","Europe"
"491",2014-06-01,223,-4.023,491,151,136400,182,749.45,"Top500",2010,"Bullx B510, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","WillowB",7488,"AWE","Bull SA","United Kingdom","Research",0,161740,1786550,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Bullx B510","Bull Bullx","Infiniband","Infiniband QDR","Northern Europe","Europe",374,35,322,"WillowB","Bullx B510, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","AWE","Bull SA","United Kingdom",2010,"Research",7488,0,136400,161740,1786550,0,182,749,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Bullx B510","Bull Bullx","Infiniband","Infiniband QDR","Northern Europe","Europe"
"482",2014-06-01,224,-4.026,482,162,139243.02,191.36,727.65,"Submission",2013,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband","",7360,"Petroleum Company","IBM","United Kingdom","Industry",0,153088,0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Infiniband","Infiniband","Northern Europe","Europe",365,41,445,"","xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband","Petroleum Company","IBM","United Kingdom",2013,"Industry",7360,0,139243,153088,0,0,191,728,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Infiniband","Infiniband","Northern Europe","Europe"
"213",2014-06-01,225,-4.035,213,223,230600,540.4,426.72,"Top500",2011,"Xtreme-X 1320H-LANL, Opteron 12 Core 2.30 GHz, Infiniband QDR","Mustang",37056,"Los Alamos National Laboratory","Cray Inc.","United States","Research",0,340915,2240000,1120000,"Cluster","Opteron 6176 12C 2.3GHz","AMD x86_64",2300,"RHEL 6.1","Linux","None",12,"Opteron 6100-series ""Magny-Cours""","Xtreme-X 1320H-LANL","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas",175,38,46,"Mustang","Xtreme-X 1320H-LANL, Opteron 12 Core 2.30 GHz, Infiniband QDR","Los Alamos National Laboratory","Cray Inc.","United States",2011,"Research",37056,0,230600,340915,2240000,1120000,540,427,"Cluster","Opteron 6176 12C 2.3GHz","AMD x86_64",2300,"RHEL 6.1","Linux","None",12,"Opteron 6100-series ""Magny-Cours"" ","Xtreme-X 1320H-LANL","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas"
"340",2014-06-01,226,-4.035,340,197,166700,282.43,590.23,"Top500",2012,"PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect","",12288,"Research Institute for Information Technology, Kyushu University","Fujitsu","Japan","Academic",0,181666,1623552,0,"Cluster","SPARC64 IXfx 16C 1.85GHz","Sparc",1848,"Linux","Linux","None",16,"SPARC64 IXfx","PRIMEHPC FX10","Fujitsu Cluster","Custom Interconnect","Tofu interconnect","Eastern Asia","Asia",264,39,106,"","PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect","Research Institute for Information Technology, Kyushu University","Fujitsu","Japan",2012,"Academic",12288,0,166700,181666,1623552,0,NA,NA,"Cluster","SPARC64 IXfx 16C 1.85GHz","Sparc",1848,"Linux","Linux","None",16,"SPARC64 IXfx","PRIMEHPC FX10","Fujitsu Cluster","Custom Interconnect","Tofu interconnect","Eastern Asia","Asia"
"237",2014-06-01,227,-4.039,237,210,211703.7,462.3,457.94,"Submission",2011,"Power 775, POWER7 8C 3.84 GHz, Custom","",8192,"Environment Canada","IBM","Canada","Research",0,251396.1,0,0,"MPP","POWER7 8C 3.84GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","North America","Americas",193,38,57,"","Power 775, POWER7 8C 3.84 GHz, Custom","Environment Canada","IBM","Canada",2011,"Research",8192,0,211704,251396,0,0,462,458,"MPP","POWER7 8C 3.84GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","North America","Americas"
"238",2014-06-01,228,-4.039,238,211,211703.7,462.3,457.94,"Submission",2011,"Power 775, POWER7 8C 3.84 GHz, Custom","",8192,"Environment Canada","IBM","Canada","Research",0,251396.1,0,0,"MPP","POWER7 8C 3.84GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","North America","Americas",194,38,56,"","Power 775, POWER7 8C 3.84 GHz, Custom","Environment Canada","IBM","Canada",2011,"Research",8192,0,211704,251396,0,0,462,458,"MPP","POWER7 8C 3.84GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","North America","Americas"
"481",2014-06-01,229,-4.051,481,178,139457,208.42,669.12,"Submission",2013,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband","",8016,"Electronics","IBM","United States","Industry",0,166733,0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Infiniband","Infiniband","North America","Americas",363,41,273,"","xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband","Electronics","IBM","United States",2013,"Industry",8016,0,139457,166733,0,0,208,669,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Infiniband","Infiniband","North America","Americas"
"451",2014-06-01,230,-4.054,451,190,147329,234.66,627.84,"Derived",2012,"Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect","Crystal",8192,"Cray Inc.","Cray Inc.","United States","Vendor",0,170394,0,0,"MPP","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Cray Linux Environment","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect","North America","Americas",325,40,169,"Crystal","Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect ","Cray Inc.","Cray Inc.","United States",2012,"Vendor",8192,0,147329,170394,0,0,NA,NA,"MPP","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Cray Linux Environment ","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","North America","Americas"
"77",2014-06-01,231,-4.057,77,383,477968,2496,191.49,"Derived",2014,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2680v2 10C 2.8GHz, 10G Ethernet","",33280,"IT Service Provider","Hewlett-Packard","United States","Industry",0,745472,0,0,"Cluster","Intel Xeon E5-2680v2 10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",NA,43,77,"","Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2680v2  10C 2.8GHz, 10G Ethernet","IT Service Provider","Hewlett-Packard","United States",2014,"Industry",33280,0,477968,745472,0,0,NA,NA,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas"
"488",2014-06-01,232,-4.057,488,179,136883.1,204.65,668.87,"Derived",2014,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.6GHz, 10G Ethernet","",9216,"IT Service Provider","Hewlett-Packard","United States","Industry",0,191692.8,0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",NA,43,488,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.6GHz, 10G Ethernet","IT Service Provider","Hewlett-Packard","United States",2014,"Industry",9216,0,136883,191693,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas"
"187",2014-06-01,233,-4.061,187,237,253000,708.2,357.24,"Top500",2012,"Hitachi SR16000 Model M1, POWER7 8C 3.836GHz, Custom Interconnect","Plasma Simulator",10304,"National Institute for Fusion Science (NIFS)","Hitachi","Japan","Research",0,316209.15,1858560,0,"Cluster","POWER7 8C 3.84GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Hitachi SR16000 Model M1","Hitachi SR16000","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia",152,33,65,"Plasma Simulator","Hitachi SR16000 Model M1, POWER7 8C 3.836GHz, Custom Interconnect","National Institute for Fusion Science (NIFS)","Hitachi","Japan",2012,"Research",10304,0,253000,316209,1858560,0,708,357,"Cluster","POWER7 8C 3.84GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Hitachi SR16000 Model M1","Hitachi SR16000","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia"
"211",2014-06-01,234,-4.064,211,230,232694,604.8,384.75,"Derived",2012,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","",14720,"IT Services Provider","Hewlett-Packard","United States","Industry",0,306176,0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","North America","Americas",174,40,107,"","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","IT Services Provider ","Hewlett-Packard","United States",2012,"Industry",14720,0,232694,306176,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","North America","Americas"
"104",2014-06-01,235,-4.071,104,336,374946.6,1609.2,233,"Derived",2014,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2640 6C 2.5GHz, 10G Ethernet","",28608,"IT Service Provider","Hewlett-Packard","United States","Industry",0,572160,0,0,"Cluster","Xeon E5-2640 6C 2.5GHz","Intel SandyBridge",2500,"Linux","Linux","None",6,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",NA,43,104,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2640 6C 2.5GHz, 10G Ethernet","IT Service Provider","Hewlett-Packard","United States",2014,"Industry",28608,0,374947,572160,0,0,NA,NA,"Cluster","Xeon E5-2640 6C 2.5GHz","Intel SandyBridge",2500,"Linux","Linux","None",6,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas"
"495",2014-06-01,236,-4.072,495,184,135400,210.35,643.69,"Top500",2012,"Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Laurel",9280,"Kyoto University","Cray Inc.","Japan","Academic",0,193024,1474560,737280,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Appro Xtreme-X Supercomputer","Appro Xtreme-X","Infiniband","Infiniband FDR","Eastern Asia","Asia",378,39,126,"Laurel","Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Kyoto University","Cray Inc.","Japan",2012,"Academic",9280,0,135400,193024,1474560,737280,210,644,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Appro Xtreme-X Supercomputer","Appro Xtreme-X","Infiniband","Infiniband FDR","Eastern Asia","Asia"
"82",2014-06-01,237,-4.074,82,385,457570.7,2419.2,189.14,"Derived",2012,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","",32256,"Energy Company (D)","Hewlett-Packard","United States","Industry",0,670925,0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","10G","10G Ethernet","North America","Americas",68,40,48,"","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","Energy Company (D)","Hewlett-Packard","United States",2012,"Industry",32256,0,457571,670925,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","10G","10G Ethernet","North America","Americas"
"202",2014-06-01,238,-4.078,202,236,238225.5,664.2,358.67,"Derived",2014,"Cluster Platform SL241n, Xeon E3-1280v3 4C 3.6GHz, Gigabit Ethernet","",16200,"IT Service Provider","Hewlett-Packard","United States","Industry",0,466560,0,0,"Cluster","Xeon E3-1280v3 4C 3.6GHz","Intel Haswell",3600,"Linux","Linux","None",4,"Intel Xeon E3 (Haswell)","Cluster Platform SL241n","HP Cluster Platform 3000SL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",NA,43,202,"","Cluster Platform SL241n, Xeon E3-1280v3 4C 3.6GHz, Gigabit Ethernet","IT Service Provider","Hewlett-Packard","United States",2014,"Industry",16200,0,238226,466560,0,0,NA,NA,"Cluster","Xeon E3-1280v3 4C 3.6GHz","Intel Haswell",3600,"Linux","Linux","None",4,"Intel Xeon E3 (Haswell)","Cluster Platform SL241n","HP Cluster Platform 3000SL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"172",2014-06-01,239,-4.079,172,245,271245.3,864,313.94,"Derived",2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","",15360,"Automative Company","Hewlett-Packard","United States","Industry",0,319488,0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","Infiniband","Infiniband FDR","North America","Americas",141,42,141,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Automative Company","Hewlett-Packard","United States",2013,"Industry",15360,0,271245,319488,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","Infiniband","Infiniband FDR","North America","Americas"
"120",2014-06-01,240,-4.086,120,303,339500,1382.4,245.59,"Derived",2013,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","",18432,"Air Force Research Laboratory","SGI","United States","Government",0,383386,2049600,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"SUSE Linux Enterprise Server 11","Linux","None",8,"Intel Xeon E5 (SandyBridge)","SGI ICE X","SGI ICE","Infiniband","Infiniband FDR","North America","Americas",97,41,81,"","SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Air Force Research Laboratory","SGI","United States",2013,"Government",18432,0,339500,383386,2049600,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"SUSE Linux Enterprise Server 11","Linux","None",8,"Intel Xeon E5 (SandyBridge)","SGI ICE X","SGI ICE","Infiniband","Infiniband FDR","North America","Americas"
