"","date","ExaRank","exascalar","top500rank","green500rank.g","site.g","manufacturer.g","name.g","computer.g","country.g","mflopswatt","power.g","cores.g","rmax.g","rpeak.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax","rpeak.t","efficiency.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"24",2012-11-01,21,-3.368,24,56,"National Computational Infrastructure, Australian National University","Fujitsu","","Fujitsu PRIMERGY CX250 S1, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Australia",880.5092744,1111.402263,53504,978600,1112883,NA,40,24,"","Fujitsu PRIMERGY CX250 S1, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","National Computational Infrastructure, Australian National University","Fujitsu","Australia",2012,"Research",53504,0,978600,1112883,88,3290496,561792,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5","Fujitsu PRIMERGY CX250 S1","Fujitsu Cluster","Infiniband","Infiniband FDR","Australia and New Zealand","Oceania"
"11",2012-11-01,22,-3.383,11,129,"CEA/TGCC-GENCI","Bull SA","Curie thin nodes","Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","France",603.7316748,2251,77184,1359000,1667174,9,39,9,"Curie thin nodes","Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","CEA/TGCC-GENCI","Bull SA","France",2012,"Research",77184,0,1359000,1667174,82,5757528,0,2251,604,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"bullx SUperCOmputer Suite A.E.2.1","Linux","None",8,"Intel Xeon E5","Bullx B510","Bull Bullx","Infiniband","Infiniband QDR","Western Europe","Europe"
"52",2012-11-01,23,-3.385,52,31,"NASA Center for Climate Simulation","IBM","Discover","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband QDR, Intel Xeon Phi 5110P","United States",1935.324675,215.6,35568,417256,628842.24,NA,40,52,"SANAM","Adtech, ASUS ESC4000/FDR G2, Xeon E5-2650 8C 2.000GHz, Infiniband FDR, AMD FirePro S10000","King Abdulaziz City for Science and Technology","Adtech","Saudi Arabia",2012,"Research",38400,33600,421200,1098000,38,1754880,0,179,2351,"Cluster","Xeon E5-2650 8C 2.000GHz","Intel SandyBridge",2000,"Linux","Linux","AMD FirePro S10000",8,"Intel Xeon E5","Adtech ESC4000/FDR G2","Adtech Cluster","Infiniband","Infiniband FDR","Western Asia","Asia"
"64",2012-11-01,24,-3.42,64,27,"DOE/NNSA/LLNL","IBM","Vulcan","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","United States",2099.391653,164.38,32768,345098,419430.4,47,38,45,"Luna","Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Los Alamos National Laboratory","Appro International","United States",2011,"Research",20480,0,347400,425984,82,2168320,1084160,448,775,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"RHEL 6.2","Linux","None",8,"Intel Xeon E5","Xtreme-X GreenBlade GB512X","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas"
"60",2012-11-01,25,-3.422,60,30,"Joint Supercomputer Center","RSC Group","MVS-10P","RSC Tornado, Xeon E5-2690 8C 2.900GHz, Infiniband FDR, Intel Xeon Phi","Russia",1949.367089,181.7,28704,354200,523827.2,NA,40,60,"","Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","Energy Company","Hewlett-Packard","United States",2012,"Industry",25568,0,371738,531814,70,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5","Cluster Platform SL250s Gen8","HP Cluster Platform 3000SL","Gigabit Ethernet","10G Ethernet","North America","Americas"
"65",2012-11-01,26,-3.422,65,26,"Southern Ontario Smart Computing Innovation Consortium/University of Toronto","IBM","BGQ","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","Canada",2099.391653,164.38,32768,345098,419430.4,48,39,48,"Vulcan","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","DOE/NNSA/LLNL","IBM","United States",2012,"Research",32768,0,345098,419430,82,0,0,164,2099,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"66",2012-11-01,27,-3.422,66,25,"IBM - Rochester","IBM","","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","United States",2099.391653,164.38,32768,345098,419430.4,49,38,64,"","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","IBM - Rochester","IBM","United States",2011,"Vendor",32768,0,345098,419430,82,0,0,164,2099,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"67",2012-11-01,28,-3.422,67,24,"IBM - Rochester","IBM","","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","United States",2099.391653,164.38,32768,345098,419430.4,50,38,29,"","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","IBM - Rochester","IBM","United States",2011,"Vendor",32768,0,345098,419430,82,0,0,164,2099,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"15",2012-11-01,29,-3.434,15,133,"International Fusion Energy Research Centre (IFERC), EU(F4E) - Japan Broader Approach collaboration","Bull SA","Helios","Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","Japan",562.2727273,2200,70560,1237000,1524096,12,38,28,"Helios","Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","International Fusion Energy Research Centre (IFERC), EU(F4E) - Japan Broader Approach collaboration","Bull SA","Japan",2011,"Academic",70560,0,1237000,1524096,81,4870152,0,2200,562,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"bullx SUperCOmputer Suite A.E.2.1","Linux","None",8,"Intel Xeon E5","Bullx B510","Bull Bullx","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"29",2012-11-01,30,-3.456,29,84,"Lawrence Livermore National Laboratory","Appro International","Zin","Xtreme-X GreenBlade GB512X, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, Infiniband QDR","United States",837.1926939,924.16,46208,773700,961126.4,27,38,15,"Zin","Xtreme-X GreenBlade GB512X, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, Infiniband QDR","Lawrence Livermore National Laboratory","Appro International","United States",2011,"Research",46208,0,773700,961126,81,3260400,1630200,924,837,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"RHEL 6.2","Linux","None",8,"Intel Xeon E5","Xtreme-X GreenBlade GB512X","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas"
