"","top500rank","green500rank.g","site.g","manufacturer.g","computer.g","country.g","mflopswatt.g","power.g","how.g","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcores.t","rmax.t","rpeak.t","effeciency.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","accelerator.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"148",148,316,"Bull","Bull SA","Bull bullx super-node S6010/S6030","France",161.98,540,"derived","Layon","Bull bullx super-node S6010/S6030","Bull","Bull SA","France",2010,"Vendor",11520,0,87470,104602,83.62,1643136,0,NA,NA,"Cluster","Xeon X7560 8C 2.26GHz","Intel Nehalem",2260,"Linux","Linux","None",8,"Xeon 75xx (Nehalem-EX)","bullx super-node S6010/S6030","Bull Bullx","Infiniband","Infiniband QDR","Western Europe","Europe"
"149",149,317,"Commissariat a l'Energie Atomique (CEA)","Bull SA","Bullx S6010 Cluster,  Xeon 2.26 Ghz 8-core, QDR Infiniband","France",161.98,540,"derived","CURIE","Bullx S6010 Cluster,  Xeon 2.26 Ghz 8-core, QDR Infiniband","Commissariat a l'Energie Atomique (CEA)","Bull SA","France",2010,"Research",11520,0,87470,104417,83.77,1643136,0,NA,NA,"Cluster","Xeon X7560 8C 2.26GHz","Intel Nehalem",2260,"Linux","Linux","None",8,"Xeon 75xx (Nehalem-EX)","bullx super-node S6010","Bull Bullx","Infiniband","Infiniband QDR","Western Europe","Europe"
"150",150,274,"Telecommunication Company","IBM","BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet","China",178.23,490.18,"Submission","","BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet","Telecommunication Company","IBM","China",2010,"Industry",15504,0,87365,156900.48,55.68,0,0,490.18,178.23,"Cluster","Xeon E5540 4C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",4,"Xeon E55xx (Nehalem-EP)","BladeCenter HS22 Cluster","IBM BladeCenter","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"151",151,365,"iVEC","Hewlett-Packard","HP Pod BL2x220, X5660 2.8 Ghz, Infiniband QDR","Australia",121.11,720,"derived","","HP Pod BL2x220, X5660 2.8 Ghz, Infiniband QDR","iVEC","Hewlett-Packard","Australia",2010,"Academic",9600,0,87198.7,107520,81.1,0,0,NA,NA,"Cluster","Xeon X5660 6C 2.80GHz","Intel Nehalem",2800,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","Cluster Platform 3000 BL 2x220","HP Cluster Platform 3000BL","Infiniband","Infiniband QDR","Australia and New Zealand","Oceania"
"152",152,332,"Web Content Provider","Hewlett-Packard","HP DL160 Cluster G6, Xeon E5640 4C 2.67 GHz, Gigabit Ethernet","United States",144.98,600.75,"Derived","","HP DL160 Cluster G6, Xeon E5640 4C 2.67 GHz, Gigabit Ethernet","Web Content Provider","Hewlett-Packard","United States",2011,"Industry",16020,0,87095,170453,51.1,0,0,NA,NA,"Cluster","Xeon E5640 4C 2.67GHz","Intel EM64T",2670,"Linux","Linux","None",4,"Xeon E56xx (Westmere-EP)","HP DL160 Cluster G6","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"153",153,482,"Financial Institution","Hewlett-Packard","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","United States",47.41,1814.95,"derived","","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Financial Institution","Hewlett-Packard","United States",2011,"Industry",15816,0,86054,168282.24,51.14,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"154",154,207,"University of Cologne, Regional Computing Centre","Bull SA","Bullx Supernode/Blade  Xeon X5550/X5650 2.66 Ghz, Infiniband","Germany",195.45,439.5,"derived","CHEOPS","Bullx Supernode/Blade  Xeon X5550/X5650 2.66 Ghz, Infiniband","University of Cologne, Regional Computing Centre","Bull SA","Germany",2010,"Academic",9376,0,85900,100171,85.75,1446480,0,NA,NA,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","Bullx Blade/Supernode","Bull Bullx","Infiniband","Infiniband QDR","Western Europe","Europe"
"155",155,18,"Geoscience (P)","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.88,99.14,"Submission","","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","Geoscience (P)","IBM","United States",2011,"Industry",6776,4928,85843,224483,38.24,0,0,99.14,865.88,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon X56xx (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband","North America","Americas"
"156",156,19,"Geoscience (P)","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.88,99.14,"Submission","","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","Geoscience (P)","IBM","United States",2011,"Industry",6776,4928,85843,224483,38.24,0,0,99.14,865.88,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon X56xx (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband","North America","Americas"
"157",157,20,"Geoscience (P)","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.88,99.14,"Submission","","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","Geoscience (P)","IBM","United States",2011,"Industry",6776,4928,85843,224483,38.24,0,0,99.14,865.88,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon X56xx (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband","North America","Americas"
